type,entry_date,exit_date,entry_price,exit_price,pnl,percent
SELL,3/9/2015,3/13/2015,8756.7,8669.133,87.567,1
BUY,3/31/2015,4/1/2015,8491,8575.91,84.91,1
BUY,8/27/2015,8/28/2015,7948.95,8028.4395,79.4895,1
BUY,8/28/2015,9/1/2015,8001.95,7921.9305,-80.0195,-1
BUY,12/16/2015,12/17/2015,7750.9,7828.409,77.509,1
SELL,4/25/2016,4/26/2016,7855.05,7933.6005,-78.5505,-1
BUY,6/28/2016,6/29/2016,8127.85,8209.1285,81.2785,1
BUY,6/29/2016,6/30/2016,8204,8286.04,82.04,1
SELL,7/7/2016,7/11/2016,8337.9,8421.279,-83.379,-1
SELL,7/8/2016,7/11/2016,8323.2,8406.432,-83.232,-1
SELL,8/11/2016,8/12/2016,8592.15,8678.0715,-85.9215,-1
SELL,9/9/2016,9/12/2016,8866.7,8778.033,88.667,1
SELL,9/12/2016,9/16/2016,8715.6,8802.756,-87.156,-1
BUY,10/4/2016,10/7/2016,8769.15,8681.4585,-87.6915,-1
BUY,10/19/2016,10/27/2016,8659.1,8572.509,-86.591,-1
BUY,12/28/2016,12/30/2016,8034.85,8115.1985,80.3485,1
SELL,2/28/2017,3/2/2017,8879.6,8968.396,-88.796,-1
SELL,3/21/2017,3/22/2017,9121.5,9030.285,91.215,1
SELL,3/22/2017,3/24/2017,9030.45,9120.7545,-90.3045,-1
BUY,7/4/2017,7/10/2017,9613.3,9709.433,96.133,1
BUY,8/16/2017,8/18/2017,9897.3,9798.327,-98.973,-1
BUY,10/3/2017,10/6/2017,9859.5,9958.095,98.595,1
BUY,11/17/2017,11/24/2017,10283.6,10386.436,102.836,1
BUY,12/8/2017,12/14/2017,10265.65,10162.9935,-102.6565,-1
BUY,2/8/2018,2/9/2018,10576.85,10471.0815,-105.7685,-1
BUY,3/9/2018,3/12/2018,10226.85,10329.1185,102.2685,1
BUY,3/12/2018,3/16/2018,10421.4,10317.186,-104.214,-1
BUY,3/27/2018,4/5/2018,10184.15,10285.9915,101.8415,1
SELL,5/17/2018,5/21/2018,10682.7,10575.873,106.827,1
BUY,5/25/2018,5/29/2018,10605.15,10711.2015,106.0515,1
BUY,5/28/2018,5/30/2018,10688.65,10581.7635,-106.8865,-1
SELL,7/17/2018,7/24/2018,11008.05,11118.1305,-110.0805,-1
SELL,8/30/2018,9/4/2018,11676.8,11560.032,116.768,1
SELL,12/5/2018,12/6/2018,10782.9,10675.071,107.829,1
SELL,1/23/2019,1/28/2019,10831.5,10723.185,108.315,1
BUY,1/31/2019,2/1/2019,10830.95,10939.2595,108.3095,1
SELL,2/11/2019,2/13/2019,10888.8,10779.912,108.888,1
SELL,4/23/2019,4/24/2019,11575.95,11691.7095,-115.7595,-1
BUY,7/11/2019,7/17/2019,11582.9,11698.729,115.829,1
BUY,7/12/2019,7/16/2019,11552.5,11668.025,115.525,1
SELL,12/24/2019,1/6/2020,12214.55,12092.4045,122.1455,1
BUY,2/5/2020,2/12/2020,12089.15,12210.0415,120.8915,1
BUY,9/28/2020,10/1/2020,11227.55,11339.8255,112.2755,1
BUY,9/29/2020,10/1/2020,11222.4,11334.624,112.224,1
BUY,11/4/2020,11/5/2020,11908.5,12027.585,119.085,1
BUY,4/16/2021,4/19/2021,14617.85,14471.6715,-146.1785,-1
BUY,4/26/2021,4/27/2021,14485,14629.85,144.85,1
SELL,5/20/2021,5/21/2021,14906.05,15055.1105,-149.0605,-1
SELL,7/8/2021,7/15/2021,15727.9,15885.179,-157.279,-1
BUY,7/13/2021,7/20/2021,15812.35,15654.2265,-158.1235,-1
BUY,7/23/2021,7/28/2021,15856.05,15697.4895,-158.5605,-1
BUY,7/30/2021,8/3/2021,15763.05,15920.6805,157.6305,1
SELL,9/28/2021,10/1/2021,17748.59,17571.1041,177.4859,1
SELL,10/21/2021,10/25/2021,18178.09,17996.3091,181.7809,1
BUY,12/22/2021,12/24/2021,16955.45,17125.0045,169.5545,1
BUY,1/31/2022,2/1/2022,17339.84,17513.2384,173.3984,1
BUY,3/10/2022,3/14/2022,16594.9,16760.849,165.949,1
SELL,6/7/2022,6/9/2022,16416.35,16252.1865,164.1635,1
SELL,7/12/2022,7/14/2022,16058.3,15897.717,160.583,1
SELL,7/26/2022,7/27/2022,16483.85,16648.6885,-164.8385,-1
SELL,12/5/2022,12/9/2022,18701.05,18514.0395,187.0105,1
BUY,12/28/2022,1/5/2023,18122.5,17941.275,-181.225,-1
BUY,3/22/2023,3/24/2023,17151.9,16980.381,-171.519,-1
SELL,6/1/2023,6/7/2023,18487.75,18672.6275,-184.8775,-1
SELL,6/26/2023,6/28/2023,18691.2,18878.112,-186.912,-1
BUY,8/22/2023,9/6/2023,19396.45,19590.4145,193.9645,1
BUY,10/30/2023,11/6/2023,19140.9,19332.309,191.409,1
BUY,10/31/2023,11/3/2023,19079.6,19270.396,190.796,1
BUY,5/15/2024,5/16/2024,22200.55,22422.5555,222.0055,1
SELL,5/29/2024,5/30/2024,22704.7,22477.653,227.047,1
