type,entry_date,exit_date,entry_price,exit_price,pnl,percent
SELL,3/9/2015,3/13/2015,7171.5,7099.785,71.715,1
BUY,3/31/2015,4/1/2015,6978.15,7047.9315,69.7815,1
BUY,8/27/2015,8/28/2015,6657.25,6723.8225,66.5725,1
BUY,8/28/2015,9/1/2015,6694.45,6627.5055,-66.9445,-1
SELL,10/13/2015,10/16/2015,6797.55,6865.5255,-67.9755,-1
BUY,11/4/2015,11/5/2015,6741.2,6673.788,-67.412,-1
BUY,12/16/2015,12/17/2015,6535.45,6600.8045,65.3545,1
BUY,1/22/2016,1/29/2016,6216.7,6278.867,62.167,1
SELL,4/25/2016,4/26/2016,6593.45,6659.3845,-65.9345,-1
BUY,6/28/2016,6/29/2016,6837.75,6906.1275,68.3775,1
SELL,9/12/2016,9/16/2016,7420.5,7494.705,-74.205,-1
SELL,3/21/2017,3/22/2017,7909.2,7830.108,79.092,1
SELL,3/22/2017,3/24/2017,7830.1,7908.401,-78.301,-1
BUY,5/26/2017,6/2/2017,8331.85,8415.1685,83.3185,1
BUY,7/4/2017,7/6/2017,8410.7,8494.807,84.107,1
BUY,8/16/2017,8/18/2017,8635.7,8549.343,-86.357,-1
BUY,10/3/2017,10/6/2017,8662.4,8749.024,86.624,1
SELL,1/17/2018,1/22/2018,9686.6,9783.466,-96.866,-1
BUY,2/8/2018,2/9/2018,9322.6,9229.374,-93.226,-1
BUY,3/12/2018,3/16/2018,9121.75,9030.5325,-91.2175,-1
BUY,3/27/2018,4/3/2018,8978.1,9067.881,89.781,1
BUY,5/28/2018,5/30/2018,9307.54,9214.4646,-93.0754,-1
SELL,7/16/2018,7/18/2018,9231.25,9323.5625,-92.3125,-1
SELL,12/5/2018,12/6/2018,9029.45,8939.1555,90.2945,1
BUY,1/31/2019,2/1/2019,9003.85,9093.8885,90.0385,1
BUY,2/1/2019,2/7/2019,9056.29,9146.8529,90.5629,1
SELL,4/23/2019,4/24/2019,9587.29,9683.1629,-95.8729,-1
SELL,12/2/2019,12/4/2019,9798,9700.02,97.98,1
SELL,12/3/2019,12/6/2019,9743.15,9645.7185,97.4315,1
SELL,12/4/2019,12/6/2019,9782.1,9684.279,97.821,1
BUY,12/13/2019,12/19/2019,9783.6,9881.436,97.836,1
BUY,2/5/2020,2/12/2020,9951.35,10050.8635,99.5135,1
BUY,9/28/2020,10/1/2020,9330.25,9423.5525,93.3025,1
BUY,9/29/2020,10/1/2020,9319.7,9412.897,93.197,1
BUY,11/4/2020,11/5/2020,9764.6,9862.246,97.646,1
SELL,3/5/2021,3/8/2021,12539,12664.39,-125.39,-1
BUY,3/23/2021,3/24/2021,12417.3,12293.127,-124.173,-1
SELL,5/3/2021,5/7/2021,12395.25,12519.2025,-123.9525,-1
SELL,7/20/2021,7/22/2021,13495.6,13630.556,-134.956,-1
SELL,8/10/2021,8/11/2021,13892.75,13753.8225,138.9275,1
SELL,10/21/2021,10/22/2021,15487.65,15332.7735,154.8765,1
BUY,12/22/2021,12/24/2021,14639.75,14786.1475,146.3975,1
BUY,1/31/2022,2/1/2022,14921.45,15070.6645,149.2145,1
BUY,3/10/2022,3/14/2022,14189,14330.89,141.89,1
SELL,4/7/2022,4/8/2022,15201.25,15353.2625,-152.0125,-1
SELL,6/7/2022,6/9/2022,13935.6,13796.244,139.356,1
SELL,7/26/2022,7/28/2022,14141.45,14282.8645,-141.4145,-1
SELL,9/19/2022,9/20/2022,15293.55,15446.4855,-152.9355,-1
BUY,12/28/2022,1/6/2023,15432.8,15278.472,-154.328,-1
BUY,3/22/2023,3/24/2023,14460,14315.4,-144.6,-1
BUY,8/17/2023,8/23/2023,16802.25,16970.2725,168.0225,1
BUY,8/22/2023,9/1/2023,16905.25,17074.3025,169.0525,1
BUY,10/6/2023,10/9/2023,17293.6,17120.664,-172.936,-1
BUY,10/30/2023,11/3/2023,16826.1,16994.361,168.261,1
BUY,10/31/2023,11/3/2023,16801.1,16969.111,168.011,1
BUY,1/29/2024,2/2/2024,19711.65,19908.7665,197.1165,1
SELL,2/12/2024,2/14/2024,19675.2,19871.952,-196.752,-1
BUY,3/22/2024,3/28/2024,19994.6,20194.546,199.946,1
SELL,5/7/2024,5/9/2024,20636.05,20429.6895,206.3605,1
BUY,5/15/2024,5/16/2024,20741.85,20949.2685,207.4185,1
SELL,9/18/2024,9/20/2024,23898.65,24137.6365,-238.9865,-1
BUY,10/30/2024,11/4/2024,22749.8,22522.302,-227.498,-1
BUY,1/16/2025,1/21/2025,21714.55,21497.4045,-217.1455,-1
