time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,78.27,78.29,77.68,77.71,192732
2025-06-09T09:16:00+05:30,77.7,78.14,77.63,77.88,141768
2025-06-09T09:17:00+05:30,77.93,78.0,77.85,77.85,56995
2025-06-09T09:18:00+05:30,77.92,77.95,77.84,77.88,67942
2025-06-09T09:19:00+05:30,77.88,77.95,77.82,77.84,78925
2025-06-09T09:20:00+05:30,77.84,77.88,77.68,77.72,60028
2025-06-09T09:21:00+05:30,77.72,77.76,77.66,77.7,46421
2025-06-09T09:22:00+05:30,77.7,77.81,77.65,77.72,88514
2025-06-09T09:23:00+05:30,77.67,77.8,77.66,77.78,64511
2025-06-09T09:24:00+05:30,77.8,77.88,77.77,77.87,26846
2025-06-09T09:25:00+05:30,77.87,77.88,77.8,77.88,40841
2025-06-09T09:26:00+05:30,77.88,77.88,77.75,77.75,37486
2025-06-09T09:27:00+05:30,77.75,77.83,77.71,77.8,60225
2025-06-09T09:28:00+05:30,77.8,77.8,77.71,77.77,41554
2025-06-09T09:29:00+05:30,77.77,77.78,77.7,77.75,50846
2025-06-09T09:30:00+05:30,77.76,77.76,77.71,77.75,7784
2025-06-09T09:31:00+05:30,77.71,77.96,77.7,77.78,306788
2025-06-09T09:32:00+05:30,77.85,77.85,77.69,77.75,64154
2025-06-09T09:33:00+05:30,77.75,77.75,77.69,77.69,9753
2025-06-09T09:34:00+05:30,77.74,77.75,77.62,77.65,37775
2025-06-09T09:35:00+05:30,77.61,77.7,77.6,77.64,51312
2025-06-09T09:36:00+05:30,77.64,77.75,77.6,77.71,111583
2025-06-09T09:37:00+05:30,77.75,77.8,77.61,77.7,74939
2025-06-09T09:38:00+05:30,77.62,77.69,77.58,77.6,51643
2025-06-09T09:39:00+05:30,77.6,77.67,77.58,77.67,36302
2025-06-09T09:40:00+05:30,77.67,77.7,77.62,77.65,39158
2025-06-09T09:41:00+05:30,77.65,77.67,77.6,77.67,14620
2025-06-09T09:42:00+05:30,77.61,77.67,77.55,77.55,30319
2025-06-09T09:43:00+05:30,77.61,77.68,77.55,77.55,59405
2025-06-09T09:44:00+05:30,77.56,77.67,77.55,77.66,5292
2025-06-09T09:45:00+05:30,77.62,77.66,77.6,77.6,15470
2025-06-09T09:46:00+05:30,77.62,77.68,77.6,77.6,25485
2025-06-09T09:47:00+05:30,77.66,77.67,77.6,77.61,8497
2025-06-09T09:48:00+05:30,77.66,77.69,77.61,77.69,6521
2025-06-09T09:49:00+05:30,77.64,77.7,77.64,77.7,7544
2025-06-09T09:50:00+05:30,77.67,77.75,77.66,77.75,70078
2025-06-09T09:51:00+05:30,77.75,77.8,77.73,77.79,101547
2025-06-09T09:52:00+05:30,77.76,77.9,77.66,77.67,253857
2025-06-09T09:53:00+05:30,77.71,77.71,77.63,77.65,62330
