time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,562.0,562.9,557.9,557.9,15569
2025-06-09T09:16:00+05:30,557.95,558.2,557.2,558.2,9202
2025-06-09T09:17:00+05:30,558.35,558.5,557.8,558.05,5431
2025-06-09T09:18:00+05:30,558.15,558.4,557.0,557.25,7536
2025-06-09T09:19:00+05:30,557.25,557.4,557.0,557.0,4504
2025-06-09T09:20:00+05:30,557.0,557.45,556.65,557.25,4023
2025-06-09T09:21:00+05:30,557.2,557.2,556.8,557.0,1467
2025-06-09T09:22:00+05:30,557.0,557.0,555.75,556.5,15676
2025-06-09T09:23:00+05:30,556.65,556.7,556.0,556.25,3346
2025-06-09T09:24:00+05:30,556.2,556.35,556.0,556.15,1352
2025-06-09T09:25:00+05:30,556.4,556.9,556.2,556.9,708
2025-06-09T09:26:00+05:30,556.9,556.9,556.5,556.8,1255
2025-06-09T09:27:00+05:30,556.8,557.0,556.4,556.95,1513
2025-06-09T09:28:00+05:30,556.9,557.0,556.2,556.2,7086
2025-06-09T09:29:00+05:30,556.25,556.9,556.25,556.45,3595
2025-06-09T09:30:00+05:30,556.7,556.7,555.15,555.9,24944
2025-06-09T09:31:00+05:30,555.9,556.25,555.75,555.8,1979
2025-06-09T09:32:00+05:30,555.8,555.9,555.55,555.85,2168
2025-06-09T09:33:00+05:30,555.85,556.2,555.55,555.75,1789
2025-06-09T09:34:00+05:30,555.75,556.0,555.55,555.75,1403
2025-06-09T09:35:00+05:30,555.55,555.95,555.55,555.95,1393
2025-06-09T09:36:00+05:30,555.85,555.95,555.25,555.55,5050
2025-06-09T09:37:00+05:30,555.65,556.15,555.45,555.45,2645
2025-06-09T09:38:00+05:30,555.6,555.75,555.35,555.5,1301
2025-06-09T09:39:00+05:30,555.6,555.7,555.5,555.6,755
2025-06-09T09:40:00+05:30,555.65,556.3,555.5,556.3,2607
2025-06-09T09:41:00+05:30,556.35,557.0,556.05,556.65,17804
2025-06-09T09:42:00+05:30,556.75,557.0,555.75,556.85,31291
2025-06-09T09:43:00+05:30,557.0,557.35,556.8,557.2,9069
2025-06-09T09:44:00+05:30,557.3,557.45,556.8,557.2,29051
2025-06-09T09:45:00+05:30,557.2,557.4,556.8,557.35,30344
2025-06-09T09:46:00+05:30,557.5,558.0,557.1,558.0,4197
2025-06-09T09:47:00+05:30,557.9,558.0,557.7,557.95,601
2025-06-09T09:48:00+05:30,557.95,557.95,557.6,557.9,963
2025-06-09T09:49:00+05:30,557.9,558.0,557.65,558.0,2225
2025-06-09T09:50:00+05:30,558.0,558.35,557.85,558.3,3262
2025-06-09T09:51:00+05:30,558.35,558.35,557.9,558.3,1171
2025-06-09T09:52:00+05:30,558.3,558.7,557.95,558.5,8923
2025-06-09T09:53:00+05:30,558.6,558.7,558.1,558.1,2558
2025-06-09T09:54:00+05:30,558.5,558.65,558.2,558.5,5791
2025-06-09T09:55:00+05:30,558.55,558.65,558.2,558.65,1916
2025-06-09T09:56:00+05:30,558.65,558.95,558.3,558.65,2026
2025-06-09T09:57:00+05:30,558.65,558.7,558.3,558.5,2190
2025-06-09T09:58:00+05:30,558.55,558.55,558.3,558.55,283
2025-06-09T09:59:00+05:30,558.55,558.65,558.5,558.65,187
2025-06-09T10:00:00+05:30,558.65,558.7,558.35,558.5,1723
2025-06-09T10:01:00+05:30,558.7,558.8,558.35,558.35,1304
2025-06-09T10:02:00+05:30,558.65,558.65,558.35,558.6,229
2025-06-09T10:03:00+05:30,558.65,558.7,558.3,558.7,1015
2025-06-09T10:04:00+05:30,558.7,559.05,558.4,558.85,27453
2025-06-09T10:05:00+05:30,558.85,559.0,558.4,558.9,25516
2025-06-09T10:06:00+05:30,558.95,559.0,558.3,558.6,37329
2025-06-09T10:07:00+05:30,558.9,559.05,557.55,557.55,30033
2025-06-09T10:08:00+05:30,557.7,557.95,557.25,557.65,1283
2025-06-09T10:09:00+05:30,557.9,558.0,557.5,557.5,1278
2025-06-09T10:10:00+05:30,557.6,557.6,556.6,556.85,4719
2025-06-09T10:11:00+05:30,556.6,557.05,556.55,557.0,904
2025-06-09T10:12:00+05:30,556.8,557.0,556.5,556.55,866
2025-06-09T10:13:00+05:30,556.55,556.55,556.0,556.3,1960
2025-06-09T10:14:00+05:30,556.25,556.25,555.8,555.8,701
2025-06-09T10:15:00+05:30,555.85,556.0,555.0,555.0,6284
2025-06-09T10:16:00+05:30,555.05,555.1,554.8,554.85,8857
2025-06-09T10:17:00+05:30,554.9,555.0,554.8,554.85,621
2025-06-09T10:18:00+05:30,554.9,555.0,554.7,554.75,2227
2025-06-09T10:19:00+05:30,554.75,555.15,554.7,555.0,1091
2025-06-09T10:20:00+05:30,555.0,555.35,554.95,555.25,1526
2025-06-09T10:21:00+05:30,555.2,555.4,555.0,555.0,2555
2025-06-09T10:22:00+05:30,555.05,555.25,555.0,555.1,2173
2025-06-09T10:23:00+05:30,555.05,555.1,554.85,554.9,13243
2025-06-09T10:24:00+05:30,554.9,554.95,554.7,554.75,1752
2025-06-09T10:25:00+05:30,554.8,555.25,554.8,555.25,427
2025-06-09T10:26:00+05:30,555.0,555.2,554.95,554.95,786
2025-06-09T10:27:00+05:30,555.0,555.25,554.95,555.0,2474
2025-06-09T10:28:00+05:30,555.0,555.65,554.95,555.5,1875
2025-06-09T10:29:00+05:30,555.45,555.75,555.4,555.75,153
2025-06-09T10:30:00+05:30,555.5,556.15,555.5,556.15,1255
2025-06-09T10:31:00+05:30,556.15,556.25,555.85,556.25,1732
2025-06-09T10:32:00+05:30,556.15,556.4,555.5,555.55,3037
2025-06-09T10:33:00+05:30,555.55,555.7,555.05,555.1,2555
2025-06-09T10:34:00+05:30,555.1,555.5,554.9,554.9,1436
2025-06-09T10:35:00+05:30,554.9,555.05,554.7,554.9,1981
2025-06-09T10:36:00+05:30,554.8,554.9,554.7,554.8,3336
2025-06-09T10:37:00+05:30,554.8,554.9,554.7,554.85,1885
2025-06-09T10:38:00+05:30,554.75,555.25,554.7,554.9,3859
2025-06-09T10:39:00+05:30,555.1,555.65,555.05,555.65,409
2025-06-09T10:40:00+05:30,555.6,556.15,555.5,556.15,2104
2025-06-09T10:41:00+05:30,556.15,556.35,555.65,555.7,3413
2025-06-09T10:42:00+05:30,555.75,556.0,555.55,555.55,3750
2025-06-09T10:43:00+05:30,555.6,555.7,555.0,555.05,2842
2025-06-09T10:44:00+05:30,555.05,555.5,555.0,555.4,961
2025-06-09T10:45:00+05:30,555.2,555.3,554.15,555.3,18791
2025-06-09T10:46:00+05:30,555.35,555.75,555.15,555.6,286
2025-06-09T10:47:00+05:30,555.45,555.5,555.2,555.35,275
2025-06-09T10:48:00+05:30,555.35,555.75,555.35,555.6,1225
2025-06-09T10:49:00+05:30,555.7,555.85,555.45,555.8,1368
2025-06-09T10:50:00+05:30,555.7,555.7,555.05,555.05,4200
2025-06-09T10:51:00+05:30,555.15,555.6,555.1,555.5,2240
2025-06-09T10:52:00+05:30,555.55,555.6,555.35,555.5,7176
2025-06-09T10:53:00+05:30,555.4,556.0,555.4,555.75,6008
2025-06-09T10:54:00+05:30,555.65,556.0,555.55,555.85,3375
2025-06-09T10:55:00+05:30,555.8,556.0,555.75,555.85,715
2025-06-09T10:56:00+05:30,555.85,556.0,555.7,555.75,1849
2025-06-09T10:57:00+05:30,555.75,555.75,555.5,555.6,881
2025-06-09T10:58:00+05:30,555.55,555.85,555.5,555.5,430
2025-06-09T10:59:00+05:30,555.65,555.75,555.5,555.55,457
2025-06-09T11:00:00+05:30,555.55,555.75,555.5,555.65,354
2025-06-09T11:01:00+05:30,555.6,555.9,555.5,555.7,1602
2025-06-09T11:02:00+05:30,555.7,555.75,555.45,555.45,445
2025-06-09T11:03:00+05:30,555.5,555.7,555.3,555.4,7975
2025-06-09T11:04:00+05:30,555.45,555.75,555.4,555.55,2103
2025-06-09T11:05:00+05:30,555.5,555.5,555.05,555.15,1844
2025-06-09T11:06:00+05:30,555.15,555.3,555.1,555.3,330
2025-06-09T11:07:00+05:30,555.2,555.25,555.0,555.0,2210
2025-06-09T11:08:00+05:30,555.05,555.1,555.0,555.1,1213
2025-06-09T11:09:00+05:30,555.1,555.2,554.6,554.9,4123
2025-06-09T11:10:00+05:30,554.75,554.85,554.65,554.65,737
2025-06-09T11:11:00+05:30,554.7,554.9,554.7,554.8,440
2025-06-09T11:12:00+05:30,554.8,555.2,554.8,555.2,173
2025-06-09T11:13:00+05:30,555.05,555.3,554.95,555.1,860
2025-06-09T11:14:00+05:30,555.25,555.5,555.15,555.4,1583
2025-06-09T11:15:00+05:30,555.5,555.5,555.25,555.5,588
2025-06-09T11:16:00+05:30,555.4,555.65,555.3,555.4,841
2025-06-09T11:17:00+05:30,555.45,555.75,555.3,555.45,1337
2025-06-09T11:18:00+05:30,555.35,555.65,555.35,555.65,185
2025-06-09T11:19:00+05:30,555.6,555.75,555.5,555.55,1265
2025-06-09T11:20:00+05:30,555.55,555.75,555.5,555.55,1054
2025-06-09T11:21:00+05:30,555.55,555.75,555.55,555.65,186
2025-06-09T11:22:00+05:30,555.6,555.75,555.55,555.6,1227
2025-06-09T11:23:00+05:30,555.65,556.0,555.6,555.8,1506
2025-06-09T11:24:00+05:30,555.8,555.9,555.0,555.1,36001
2025-06-09T11:25:00+05:30,555.35,555.5,555.25,555.4,977
2025-06-09T11:26:00+05:30,555.4,555.65,555.35,555.4,1607
2025-06-09T11:27:00+05:30,555.5,555.7,555.5,555.5,2211
2025-06-09T11:28:00+05:30,555.5,555.7,555.45,555.7,383
2025-06-09T11:29:00+05:30,555.65,555.8,554.85,555.0,10800
2025-06-09T11:30:00+05:30,555.0,555.5,555.0,555.35,2084
2025-06-09T11:31:00+05:30,555.35,555.4,554.6,554.8,7846
2025-06-09T11:32:00+05:30,554.85,555.1,554.8,554.95,448
2025-06-09T11:33:00+05:30,555.05,555.3,555.0,555.3,721
2025-06-09T11:34:00+05:30,555.3,555.75,554.85,554.95,14213
2025-06-09T11:35:00+05:30,555.05,556.0,554.85,555.5,32696
2025-06-09T11:36:00+05:30,555.6,556.05,555.5,556.0,22131
2025-06-09T11:37:00+05:30,556.05,556.55,555.85,556.0,39197
2025-06-09T11:38:00+05:30,556.05,556.05,555.9,555.9,4947
2025-06-09T11:39:00+05:30,555.95,555.95,555.75,555.75,2526
2025-06-09T11:40:00+05:30,555.8,556.0,555.65,555.65,2553
2025-06-09T11:41:00+05:30,555.7,555.7,555.65,555.7,5206
2025-06-09T11:42:00+05:30,555.7,555.7,555.5,555.5,3112
2025-06-09T11:43:00+05:30,555.55,555.55,555.3,555.35,752
2025-06-09T11:44:00+05:30,555.35,555.8,555.3,555.3,11303
2025-06-09T11:45:00+05:30,555.35,555.35,555.0,555.0,6947
2025-06-09T11:46:00+05:30,555.1,555.6,555.0,555.2,812
2025-06-09T11:47:00+05:30,555.45,555.95,555.15,555.95,4149
2025-06-09T11:48:00+05:30,555.7,556.05,555.5,556.0,2959
2025-06-09T11:49:00+05:30,556.0,556.05,556.0,556.0,1618
2025-06-09T11:50:00+05:30,556.05,556.05,556.0,556.05,1296
2025-06-09T11:51:00+05:30,556.05,557.15,556.0,556.8,8238
2025-06-09T11:52:00+05:30,556.8,557.35,556.7,556.85,38198
2025-06-09T11:53:00+05:30,557.1,557.7,555.8,555.85,150412
2025-06-09T11:54:00+05:30,556.15,557.25,556.15,556.9,11138
2025-06-09T11:55:00+05:30,556.9,557.55,556.5,556.95,57572
2025-06-09T11:56:00+05:30,557.0,557.15,556.85,557.0,29533
2025-06-09T11:57:00+05:30,557.15,558.0,557.0,557.95,8763
2025-06-09T11:58:00+05:30,558.0,558.5,557.65,558.0,9265
2025-06-09T11:59:00+05:30,558.05,558.1,557.15,557.3,5400
2025-06-09T12:00:00+05:30,557.6,557.75,557.55,557.7,1541
2025-06-09T12:01:00+05:30,557.7,557.7,557.25,557.25,1160
2025-06-09T12:02:00+05:30,557.4,557.6,557.15,557.5,1871
2025-06-09T12:03:00+05:30,557.5,557.5,557.15,557.25,2579
2025-06-09T12:04:00+05:30,557.5,557.55,557.2,557.5,685
2025-06-09T12:05:00+05:30,557.5,557.5,557.25,557.25,188
2025-06-09T12:06:00+05:30,557.5,557.6,557.3,557.55,2463
2025-06-09T12:07:00+05:30,557.55,557.55,557.0,557.3,549
2025-06-09T12:08:00+05:30,557.3,557.5,557.05,557.35,1419
2025-06-09T12:09:00+05:30,557.35,557.55,557.35,557.55,395
2025-06-09T12:10:00+05:30,557.55,557.7,557.5,557.5,1012
2025-06-09T12:11:00+05:30,557.7,557.75,557.25,557.55,538
2025-06-09T12:12:00+05:30,557.6,557.65,557.25,557.6,413
2025-06-09T12:13:00+05:30,557.7,557.7,557.4,557.45,213
2025-06-09T12:14:00+05:30,557.65,557.65,557.4,557.65,220
2025-06-09T12:15:00+05:30,557.4,558.3,557.35,557.95,5093
2025-06-09T12:16:00+05:30,557.95,558.0,557.2,557.2,5837
2025-06-09T12:17:00+05:30,557.45,557.65,557.1,557.55,1678
2025-06-09T12:18:00+05:30,557.8,557.8,557.8,557.8,38
2025-06-09T12:19:00+05:30,557.55,557.75,557.5,557.65,294
2025-06-09T12:20:00+05:30,557.4,557.65,557.05,557.25,929
2025-06-09T12:21:00+05:30,557.1,557.25,557.0,557.0,1140
2025-06-09T12:22:00+05:30,557.25,557.25,556.25,556.25,11703
2025-06-09T12:23:00+05:30,556.25,556.5,556.05,556.05,76
2025-06-09T12:24:00+05:30,556.4,556.4,556.2,556.4,112
2025-06-09T12:25:00+05:30,556.2,556.5,556.2,556.5,170
2025-06-09T12:26:00+05:30,556.2,556.55,556.2,556.25,43
2025-06-09T12:27:00+05:30,556.25,556.6,556.2,556.4,1250
2025-06-09T12:28:00+05:30,556.2,556.4,556.2,556.25,1112
2025-06-09T12:29:00+05:30,556.25,556.7,556.25,556.7,344
2025-06-09T12:30:00+05:30,556.7,556.9,556.55,556.9,478
2025-06-09T12:31:00+05:30,556.85,556.9,556.55,556.55,666
2025-06-09T12:32:00+05:30,556.8,556.8,556.55,556.75,305
2025-06-09T12:33:00+05:30,556.55,557.45,556.55,557.05,2398
2025-06-09T12:34:00+05:30,557.35,557.35,557.3,557.3,86
2025-06-09T12:35:00+05:30,557.3,557.3,557.0,557.3,163
2025-06-09T12:36:00+05:30,557.3,557.3,557.0,557.0,188
2025-06-09T12:37:00+05:30,557.25,557.3,557.0,557.0,1769
2025-06-09T12:38:00+05:30,557.25,557.3,557.0,557.0,180
2025-06-09T12:39:00+05:30,557.0,557.3,557.0,557.3,314
2025-06-09T12:40:00+05:30,557.25,557.25,557.0,557.25,142
2025-06-09T12:41:00+05:30,557.0,557.2,557.0,557.2,40
2025-06-09T12:42:00+05:30,557.0,557.15,556.8,556.8,6208
2025-06-09T12:43:00+05:30,556.8,557.0,556.8,557.0,1198
2025-06-09T12:44:00+05:30,557.0,557.05,556.8,557.0,4148
2025-06-09T12:45:00+05:30,557.0,557.05,557.0,557.0,123
2025-06-09T12:46:00+05:30,557.0,557.15,557.0,557.0,208
2025-06-09T12:47:00+05:30,557.1,557.1,557.1,557.1,66
2025-06-09T12:48:00+05:30,557.0,557.05,557.0,557.0,121
2025-06-09T12:49:00+05:30,557.0,557.05,557.0,557.0,1727
