time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,247.9,248.5,247.15,247.33,234823
2025-06-09T09:16:00+05:30,247.12,248.1,247.1,247.42,134183
2025-06-09T09:17:00+05:30,247.38,248.0,247.38,247.81,75666
2025-06-09T09:18:00+05:30,247.81,247.9,247.46,247.5,109526
2025-06-09T09:19:00+05:30,247.5,247.8,247.35,247.78,110652
2025-06-09T09:20:00+05:30,247.67,247.8,247.01,247.37,103911
2025-06-09T09:21:00+05:30,247.32,247.37,247.1,247.3,99810
2025-06-09T09:22:00+05:30,247.29,247.3,246.84,247.16,109052
2025-06-09T09:23:00+05:30,247.08,247.12,246.73,246.77,60996
2025-06-09T09:24:00+05:30,246.8,247.08,246.67,246.71,135325
2025-06-09T09:25:00+05:30,246.8,247.19,246.62,247.08,40302
2025-06-09T09:26:00+05:30,247.08,247.4,247.06,247.15,41980
2025-06-09T09:27:00+05:30,247.15,247.45,247.08,247.14,36168
2025-06-09T09:28:00+05:30,247.14,247.15,246.82,246.9,56299
2025-06-09T09:29:00+05:30,246.99,247.29,246.87,247.11,29642
2025-06-09T09:30:00+05:30,247.1,247.45,247.1,247.38,80419
2025-06-09T09:31:00+05:30,247.38,247.45,247.1,247.1,29110
2025-06-09T09:32:00+05:30,247.18,247.2,247.0,247.19,56252
2025-06-09T09:33:00+05:30,247.19,247.35,247.01,247.28,28564
2025-06-09T09:34:00+05:30,247.35,247.45,247.25,247.36,24140
2025-06-09T09:35:00+05:30,247.36,247.67,247.33,247.45,107324
2025-06-09T09:36:00+05:30,247.34,247.47,247.25,247.4,41043
2025-06-09T09:37:00+05:30,247.39,247.51,247.34,247.5,32215
2025-06-09T09:38:00+05:30,247.44,247.94,247.44,247.94,127465
2025-06-09T09:39:00+05:30,247.9,248.76,247.86,248.65,309258
2025-06-09T09:40:00+05:30,248.65,248.7,248.3,248.39,56952
2025-06-09T09:41:00+05:30,248.4,248.6,248.35,248.54,43395
2025-06-09T09:42:00+05:30,248.5,249.45,248.4,249.36,203347
2025-06-09T09:43:00+05:30,249.4,250.05,249.37,249.7,323925
2025-06-09T09:44:00+05:30,249.71,249.74,249.07,249.18,102067
2025-06-09T09:45:00+05:30,249.15,249.49,248.92,249.29,70171
2025-06-09T09:46:00+05:30,249.38,249.95,249.3,249.82,101979
2025-06-09T09:47:00+05:30,249.91,249.91,249.38,249.5,57763
2025-06-09T09:48:00+05:30,249.41,249.53,249.38,249.4,26299
2025-06-09T09:49:00+05:30,249.43,249.5,248.81,248.95,54731
2025-06-09T09:50:00+05:30,248.87,248.9,248.6,248.65,50407
2025-06-09T09:51:00+05:30,248.65,248.65,248.41,248.41,40567
2025-06-09T09:52:00+05:30,248.42,248.61,248.1,248.25,56683
2025-06-09T09:53:00+05:30,248.25,248.29,248.1,248.15,16924
2025-06-09T09:54:00+05:30,248.15,248.47,248.1,248.32,16941
2025-06-09T09:55:00+05:30,248.4,248.6,248.24,248.59,25387
2025-06-09T09:56:00+05:30,248.46,249.14,248.43,248.94,54427
2025-06-09T09:57:00+05:30,248.85,248.94,248.74,248.88,52802
2025-06-09T09:58:00+05:30,248.85,248.94,248.7,248.88,20359
2025-06-09T09:59:00+05:30,248.93,248.93,248.52,248.55,24275
2025-06-09T10:00:00+05:30,248.57,249.0,248.57,248.99,27591
2025-06-09T10:01:00+05:30,249.0,249.25,248.89,249.11,55181
2025-06-09T10:02:00+05:30,249.0,249.05,248.74,248.89,10232
2025-06-09T10:03:00+05:30,248.9,248.97,248.7,248.82,8731
2025-06-09T10:04:00+05:30,248.75,248.82,248.67,248.67,37295
2025-06-09T10:05:00+05:30,248.7,248.7,248.57,248.64,19340
2025-06-09T10:06:00+05:30,248.6,248.7,248.5,248.7,22281
2025-06-09T10:07:00+05:30,248.7,248.75,248.57,248.66,47823
2025-06-09T10:08:00+05:30,248.66,248.8,248.52,248.76,35438
2025-06-09T10:09:00+05:30,248.8,249.26,248.78,249.12,23685
2025-06-09T10:10:00+05:30,249.2,249.21,249.0,249.08,20101
2025-06-09T10:11:00+05:30,249.1,249.11,248.81,248.89,18608
2025-06-09T10:12:00+05:30,248.95,249.0,248.63,248.75,15498
2025-06-09T10:13:00+05:30,248.7,248.82,248.61,248.8,8572
2025-06-09T10:14:00+05:30,248.82,248.82,248.6,248.65,20728
2025-06-09T10:15:00+05:30,248.64,248.65,248.5,248.6,7003
2025-06-09T10:16:00+05:30,248.59,248.6,248.4,248.42,19824
2025-06-09T10:17:00+05:30,248.42,248.5,248.32,248.45,19016
2025-06-09T10:18:00+05:30,248.39,248.48,248.32,248.38,11874
2025-06-09T10:19:00+05:30,248.38,248.78,248.3,248.62,25817
2025-06-09T10:20:00+05:30,248.58,248.68,248.47,248.52,19891
2025-06-09T10:21:00+05:30,248.51,248.62,248.49,248.49,7005
2025-06-09T10:22:00+05:30,248.46,248.85,248.46,248.75,20518
2025-06-09T10:23:00+05:30,248.68,248.75,248.57,248.72,28379
2025-06-09T10:24:00+05:30,248.71,248.75,248.6,248.62,3793
2025-06-09T10:25:00+05:30,248.7,248.75,248.59,248.65,17344
2025-06-09T10:26:00+05:30,248.65,248.73,248.65,248.71,4494
2025-06-09T10:27:00+05:30,248.71,248.85,248.55,248.58,35499
2025-06-09T10:28:00+05:30,248.66,248.8,248.58,248.75,35841
2025-06-09T10:29:00+05:30,248.74,248.8,248.6,248.77,9459
2025-06-09T10:30:00+05:30,248.66,248.77,248.65,248.76,10667
2025-06-09T10:31:00+05:30,248.73,248.77,248.66,248.73,10893
2025-06-09T10:32:00+05:30,248.7,249.12,248.7,249.12,60842
2025-06-09T10:33:00+05:30,249.14,249.3,249.03,249.3,65670
2025-06-09T10:34:00+05:30,249.3,249.38,248.8,248.96,45939
2025-06-09T10:35:00+05:30,248.92,248.97,248.7,248.7,33240
2025-06-09T10:36:00+05:30,248.7,248.92,248.7,248.75,36407
2025-06-09T10:37:00+05:30,248.75,248.96,248.7,248.96,10548
2025-06-09T10:38:00+05:30,248.96,248.96,248.75,248.9,12007
2025-06-09T10:39:00+05:30,248.9,249.33,248.9,249.2,117273
2025-06-09T10:40:00+05:30,249.2,249.32,249.1,249.2,24083
2025-06-09T10:41:00+05:30,249.13,249.27,249.08,249.27,77982
2025-06-09T10:42:00+05:30,249.29,249.3,249.15,249.24,12183
2025-06-09T10:43:00+05:30,249.18,249.4,249.0,249.39,106897
2025-06-09T10:44:00+05:30,249.4,249.5,249.18,249.49,100662
2025-06-09T10:45:00+05:30,249.5,249.8,249.31,249.62,358615
2025-06-09T10:46:00+05:30,249.71,249.71,249.26,249.3,37260
2025-06-09T10:47:00+05:30,249.25,249.59,249.24,249.59,29531
2025-06-09T10:48:00+05:30,249.53,249.73,249.23,249.24,78039
2025-06-09T10:49:00+05:30,249.33,249.34,249.0,249.1,14943
2025-06-09T10:50:00+05:30,249.05,249.25,249.0,249.14,21032
2025-06-09T10:51:00+05:30,249.16,249.25,249.05,249.09,12530
2025-06-09T10:52:00+05:30,249.1,249.11,248.83,248.84,28837
2025-06-09T10:53:00+05:30,248.93,248.94,248.53,248.81,43288
2025-06-09T10:54:00+05:30,248.9,248.95,248.62,248.78,10505
2025-06-09T10:55:00+05:30,248.71,248.9,248.7,248.75,5826
2025-06-09T10:56:00+05:30,248.78,249.08,248.78,248.88,21367
2025-06-09T10:57:00+05:30,248.87,249.04,248.75,248.96,14260
2025-06-09T10:58:00+05:30,249.0,249.1,248.9,248.9,14451
2025-06-09T10:59:00+05:30,248.95,249.09,248.83,248.84,23895
2025-06-09T11:00:00+05:30,248.9,249.29,248.81,249.2,51031
2025-06-09T11:01:00+05:30,249.1,249.2,249.0,249.01,5018
2025-06-09T11:02:00+05:30,249.01,249.11,249.0,249.04,29281
2025-06-09T11:03:00+05:30,249.0,249.14,249.0,249.02,8619
2025-06-09T11:04:00+05:30,249.02,249.2,249.01,249.2,15011
2025-06-09T11:05:00+05:30,249.2,249.2,249.02,249.12,17611
2025-06-09T11:06:00+05:30,249.03,249.17,249.01,249.15,43747
2025-06-09T11:07:00+05:30,249.15,249.16,248.85,248.85,143323
