time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,682.5,688.45,682.35,687.8,25777
2025-06-09T09:16:00+05:30,687.9,688.75,686.0,686.35,24929
2025-06-09T09:17:00+05:30,686.85,688.15,686.3,687.9,20180
2025-06-09T09:18:00+05:30,687.35,688.95,687.3,688.65,10838
2025-06-09T09:19:00+05:30,688.65,689.5,688.5,688.65,21700
2025-06-09T09:20:00+05:30,688.95,689.0,687.15,688.0,13801
2025-06-09T09:21:00+05:30,687.75,689.0,687.6,688.2,7634
2025-06-09T09:22:00+05:30,688.05,688.5,687.5,687.9,7861
2025-06-09T09:23:00+05:30,687.5,687.8,686.5,686.55,8135
2025-06-09T09:24:00+05:30,686.85,687.15,686.3,686.7,6662
2025-06-09T09:25:00+05:30,687.1,687.1,685.2,686.45,10625
2025-06-09T09:26:00+05:30,686.0,686.4,685.5,685.9,4722
2025-06-09T09:27:00+05:30,685.5,687.2,685.35,687.2,9043
2025-06-09T09:28:00+05:30,687.3,687.3,686.0,686.65,12548
2025-06-09T09:29:00+05:30,686.5,687.5,685.8,687.3,7932
2025-06-09T09:30:00+05:30,686.55,687.3,686.1,686.5,6855
2025-06-09T09:31:00+05:30,686.35,688.0,686.35,686.95,30697
2025-06-09T09:32:00+05:30,687.35,688.55,687.05,688.4,24717
2025-06-09T09:33:00+05:30,688.4,689.5,687.85,688.25,21271
2025-06-09T09:34:00+05:30,688.25,689.4,687.95,688.5,17474
2025-06-09T09:35:00+05:30,688.85,690.0,688.4,689.25,34093
2025-06-09T09:36:00+05:30,688.9,691.5,688.9,690.65,29716
2025-06-09T09:37:00+05:30,690.6,691.0,690.05,691.0,12232
2025-06-09T09:38:00+05:30,690.85,693.0,690.85,692.55,45082
2025-06-09T09:39:00+05:30,692.6,692.8,691.15,691.45,9423
2025-06-09T09:40:00+05:30,691.55,691.6,690.1,690.6,3382
2025-06-09T09:41:00+05:30,690.65,691.55,690.5,690.5,5807
