time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,649.04,650.72,648.56,649.6,3906
2025-06-09T09:16:00+05:30,649.96,650.44,649.04,649.56,2603
2025-06-09T09:17:00+05:30,649.88,650.44,649.24,649.32,4886
2025-06-09T09:18:00+05:30,649.24,649.68,648.4,649.08,3504
2025-06-09T09:19:00+05:30,648.96,649.6,648.8,649.12,4819
2025-06-09T09:20:00+05:30,648.8,648.8,648.04,648.28,4488
2025-06-09T09:21:00+05:30,648.52,648.52,647.6,647.6,5015
2025-06-09T09:22:00+05:30,647.72,648.52,647.32,647.44,13688
2025-06-09T09:23:00+05:30,647.68,647.68,646.8,646.8,5691
2025-06-09T09:24:00+05:30,646.8,646.92,645.92,646.08,9164
2025-06-09T09:25:00+05:30,646.08,646.48,645.84,646.12,16658
2025-06-09T09:26:00+05:30,646.36,647.32,645.8,646.8,3040
2025-06-09T09:27:00+05:30,646.48,647.4,646.48,647.16,1496
2025-06-09T09:28:00+05:30,647.4,647.4,646.24,646.4,1385
2025-06-09T09:29:00+05:30,646.4,647.6,646.4,647.2,3350
2025-06-09T09:30:00+05:30,647.2,647.48,646.64,646.64,2368
2025-06-09T09:31:00+05:30,646.96,647.28,646.72,647.04,1925
2025-06-09T09:32:00+05:30,647.0,647.28,646.6,647.16,1354
2025-06-09T09:33:00+05:30,647.24,647.6,647.2,647.52,1369
2025-06-09T09:34:00+05:30,647.2,647.32,646.56,647.08,3078
2025-06-09T09:35:00+05:30,647.0,647.16,645.08,645.76,9709
2025-06-09T09:36:00+05:30,645.76,646.04,645.28,645.96,1699
2025-06-09T09:37:00+05:30,645.96,646.0,644.48,644.6,7788
2025-06-09T09:38:00+05:30,644.56,645.44,644.24,645.4,1991
2025-06-09T09:39:00+05:30,645.28,645.52,644.48,644.72,2821
2025-06-09T09:40:00+05:30,645.0,645.12,644.48,644.8,1618
2025-06-09T09:41:00+05:30,645.32,645.44,644.52,645.28,2836
2025-06-09T09:42:00+05:30,644.96,645.52,644.04,644.8,5724
2025-06-09T09:43:00+05:30,644.96,644.96,643.36,643.4,1820
2025-06-09T09:44:00+05:30,643.24,643.84,643.24,643.32,15631
2025-06-09T09:45:00+05:30,643.32,644.0,642.84,643.44,4234
2025-06-09T09:46:00+05:30,643.8,644.4,643.52,644.04,5948
2025-06-09T09:47:00+05:30,644.04,644.44,643.36,643.72,3871
2025-06-09T09:48:00+05:30,643.68,643.72,642.88,642.88,5566
2025-06-09T09:49:00+05:30,642.88,643.4,642.88,643.08,1581
2025-06-09T09:50:00+05:30,643.08,643.4,643.0,643.12,7579
2025-06-09T09:51:00+05:30,643.12,644.0,643.12,643.68,2954
2025-06-09T09:52:00+05:30,643.56,643.88,643.32,643.44,3064
2025-06-09T09:53:00+05:30,643.76,644.04,643.44,643.68,999
2025-06-09T09:54:00+05:30,643.68,644.28,643.48,644.0,3313
2025-06-09T09:55:00+05:30,644.0,644.28,643.56,644.0,2893
2025-06-09T09:56:00+05:30,644.24,644.24,644.0,644.0,945
2025-06-09T09:57:00+05:30,644.0,644.24,642.88,642.88,7381
2025-06-09T09:58:00+05:30,643.24,643.24,642.88,642.96,1679
2025-06-09T09:59:00+05:30,642.96,643.6,642.8,642.8,10025
2025-06-09T10:00:00+05:30,642.8,643.2,642.52,642.72,10209
2025-06-09T10:01:00+05:30,643.0,643.8,642.68,643.0,14971
2025-06-09T10:02:00+05:30,643.0,643.2,642.88,643.0,1845
2025-06-09T10:03:00+05:30,643.0,643.2,642.92,643.0,1548
2025-06-09T10:04:00+05:30,643.2,643.2,642.04,642.08,9565
2025-06-09T10:05:00+05:30,642.4,642.4,641.52,641.52,3043
2025-06-09T10:06:00+05:30,641.52,642.08,641.28,641.76,6179
2025-06-09T10:07:00+05:30,641.76,642.0,641.44,641.64,5075
