time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,208.99,209.72,208.57,209.25,133416
2025-06-09T09:16:00+05:30,209.17,209.77,208.55,208.99,74940
2025-06-09T09:17:00+05:30,208.86,209.81,208.85,209.25,59836
2025-06-09T09:18:00+05:30,209.13,209.62,209.11,209.4,54018
2025-06-09T09:19:00+05:30,209.36,209.6,208.96,209.47,87454
2025-06-09T09:20:00+05:30,209.57,209.57,209.15,209.29,15599
2025-06-09T09:21:00+05:30,209.24,209.33,208.8,209.0,39084
2025-06-09T09:22:00+05:30,209.05,209.05,208.8,208.84,19176
2025-06-09T09:23:00+05:30,208.84,208.93,208.27,208.27,53551
2025-06-09T09:24:00+05:30,208.32,208.66,208.05,208.5,54160
2025-06-09T09:25:00+05:30,208.6,208.87,208.48,208.74,34161
2025-06-09T09:26:00+05:30,208.85,208.86,208.61,208.78,9517
2025-06-09T09:27:00+05:30,208.79,208.79,208.47,208.63,23551
2025-06-09T09:28:00+05:30,208.63,208.63,208.25,208.34,11461
2025-06-09T09:29:00+05:30,208.33,208.33,208.05,208.23,7703
2025-06-09T09:30:00+05:30,208.1,208.4,208.09,208.36,7374
2025-06-09T09:31:00+05:30,208.23,208.29,208.1,208.15,12819
2025-06-09T09:32:00+05:30,208.19,208.29,208.06,208.16,10974
2025-06-09T09:33:00+05:30,208.16,208.19,208.01,208.14,22001
2025-06-09T09:34:00+05:30,208.14,208.18,208.01,208.01,14826
2025-06-09T09:35:00+05:30,208.08,208.5,208.01,208.1,76004
2025-06-09T09:36:00+05:30,208.1,208.5,208.02,208.36,24525
2025-06-09T09:37:00+05:30,208.4,208.5,208.22,208.34,11470
2025-06-09T09:38:00+05:30,208.34,208.63,208.3,208.6,11470
2025-06-09T09:39:00+05:30,208.49,208.64,208.4,208.51,6761
2025-06-09T09:40:00+05:30,208.5,208.69,208.4,208.64,3078
2025-06-09T09:41:00+05:30,208.63,208.79,208.54,208.68,16745
2025-06-09T09:42:00+05:30,208.64,208.69,208.61,208.65,7086
2025-06-09T09:43:00+05:30,208.65,209.13,208.61,209.02,120649
2025-06-09T09:44:00+05:30,209.03,209.59,209.03,209.5,171952
2025-06-09T09:45:00+05:30,209.5,209.95,209.5,209.95,57783
2025-06-09T09:46:00+05:30,209.97,210.34,209.96,210.22,44783
2025-06-09T09:47:00+05:30,210.29,210.29,210.0,210.17,66912
2025-06-09T09:48:00+05:30,210.18,210.29,209.8,209.9,103172
2025-06-09T09:49:00+05:30,209.9,209.99,209.74,209.8,14259
2025-06-09T09:50:00+05:30,209.82,209.85,209.22,209.45,47608
2025-06-09T09:51:00+05:30,209.31,209.69,209.25,209.69,94562
2025-06-09T09:52:00+05:30,209.62,209.69,209.58,209.68,8275
2025-06-09T09:53:00+05:30,209.67,209.67,209.3,209.35,24165
2025-06-09T09:54:00+05:30,209.35,209.54,209.3,209.42,5523
2025-06-09T09:55:00+05:30,209.37,209.61,209.37,209.61,3442
2025-06-09T09:56:00+05:30,209.5,210.13,209.5,210.09,31827
2025-06-09T09:57:00+05:30,210.12,210.12,209.9,209.92,12014
2025-06-09T09:58:00+05:30,209.78,209.9,209.78,209.8,6216
2025-06-09T09:59:00+05:30,209.87,209.87,209.7,209.74,8132
2025-06-09T10:00:00+05:30,209.77,209.86,209.74,209.8,5673
2025-06-09T10:01:00+05:30,209.8,209.95,209.74,209.89,6891
2025-06-09T10:02:00+05:30,209.89,209.89,209.61,209.64,8572
2025-06-09T10:03:00+05:30,209.78,209.8,209.6,209.66,2384
2025-06-09T10:04:00+05:30,209.66,209.92,209.6,209.87,17675
2025-06-09T10:05:00+05:30,209.77,210.0,209.77,209.9,4616
2025-06-09T10:06:00+05:30,209.98,210.1,209.86,210.0,10863
2025-06-09T10:07:00+05:30,210.0,210.15,209.94,210.14,8423
2025-06-09T10:08:00+05:30,210.14,210.33,210.02,210.28,19141
2025-06-09T10:09:00+05:30,210.33,210.71,210.27,210.4,52137
2025-06-09T10:10:00+05:30,210.41,210.6,210.16,210.32,118326
2025-06-09T10:11:00+05:30,210.44,210.5,210.25,210.3,7564
2025-06-09T10:12:00+05:30,210.25,210.3,210.07,210.2,8416
2025-06-09T10:13:00+05:30,210.2,210.2,210.07,210.15,2980
2025-06-09T10:14:00+05:30,210.15,210.19,210.09,210.09,3157
2025-06-09T10:15:00+05:30,210.15,210.26,210.14,210.19,6000
2025-06-09T10:16:00+05:30,210.19,210.3,210.12,210.3,7397
2025-06-09T10:17:00+05:30,210.2,210.3,210.11,210.19,13116
2025-06-09T10:18:00+05:30,210.29,210.32,210.17,210.28,4737
2025-06-09T10:19:00+05:30,210.25,210.47,210.21,210.37,6423
2025-06-09T10:20:00+05:30,210.46,210.47,210.26,210.4,6409
2025-06-09T10:21:00+05:30,210.4,210.7,210.37,210.7,46179
2025-06-09T10:22:00+05:30,210.7,210.85,210.62,210.75,14095
2025-06-09T10:23:00+05:30,210.72,210.77,210.7,210.72,29549
2025-06-09T10:24:00+05:30,210.77,211.1,210.73,211.1,172630
2025-06-09T10:25:00+05:30,211.0,211.47,211.0,211.19,133819
2025-06-09T10:26:00+05:30,211.16,211.5,211.0,211.29,118208
2025-06-09T10:27:00+05:30,211.29,211.34,210.85,211.0,36334
2025-06-09T10:28:00+05:30,211.07,211.07,210.88,210.89,24950
2025-06-09T10:29:00+05:30,211.0,211.11,210.89,211.01,17313
2025-06-09T10:30:00+05:30,210.99,211.1,210.92,210.92,9834
2025-06-09T10:31:00+05:30,210.92,211.07,210.9,210.96,9216
2025-06-09T10:32:00+05:30,211.0,211.24,210.89,211.16,15713
2025-06-09T10:33:00+05:30,211.24,211.3,211.0,211.19,16742
2025-06-09T10:34:00+05:30,211.25,211.4,210.86,210.95,26483
2025-06-09T10:35:00+05:30,210.95,211.05,210.8,210.88,15426
2025-06-09T10:36:00+05:30,210.8,210.91,210.61,210.7,16396
2025-06-09T10:37:00+05:30,210.75,210.99,210.65,210.86,4783
2025-06-09T10:38:00+05:30,210.73,210.92,210.67,210.82,4309
2025-06-09T10:39:00+05:30,210.7,211.13,210.7,211.0,27152
2025-06-09T10:40:00+05:30,210.99,211.1,210.84,210.99,12113
2025-06-09T10:41:00+05:30,211.1,211.25,211.0,211.11,31764
2025-06-09T10:42:00+05:30,211.12,211.25,211.09,211.16,9508
2025-06-09T10:43:00+05:30,211.15,211.48,211.1,211.13,54509
2025-06-09T10:44:00+05:30,211.13,211.43,211.07,211.26,11492
2025-06-09T10:45:00+05:30,211.26,211.58,211.15,211.48,81001
2025-06-09T10:46:00+05:30,211.5,211.74,211.32,211.41,52667
2025-06-09T10:47:00+05:30,211.51,211.64,211.35,211.43,14583
2025-06-09T10:48:00+05:30,211.46,211.59,211.4,211.49,9141
2025-06-09T10:49:00+05:30,211.5,211.7,211.32,211.7,22213
2025-06-09T10:50:00+05:30,211.7,211.81,211.6,211.78,40579
2025-06-09T10:51:00+05:30,211.8,212.08,211.8,212.08,125943
2025-06-09T10:52:00+05:30,212.09,212.23,211.99,212.06,59006
2025-06-09T10:53:00+05:30,212.13,212.25,211.99,212.25,45935
2025-06-09T10:54:00+05:30,212.25,212.29,212.08,212.21,30525
2025-06-09T10:55:00+05:30,212.21,212.27,212.05,212.06,11361
2025-06-09T10:56:00+05:30,212.06,212.4,212.01,212.26,89363
2025-06-09T10:57:00+05:30,212.26,212.35,212.06,212.35,22586
2025-06-09T10:58:00+05:30,212.39,212.6,212.32,212.39,58791
2025-06-09T10:59:00+05:30,212.39,212.45,212.24,212.29,19111
2025-06-09T11:00:00+05:30,212.35,212.5,212.29,212.37,22043
2025-06-09T11:01:00+05:30,212.4,212.5,212.3,212.33,13351
2025-06-09T11:02:00+05:30,212.33,212.44,212.2,212.25,22886
2025-06-09T11:03:00+05:30,212.3,212.3,212.2,212.21,8553
2025-06-09T11:04:00+05:30,212.3,212.3,212.15,212.27,18456
2025-06-09T11:05:00+05:30,212.27,212.3,212.0,212.05,10987
2025-06-09T11:06:00+05:30,212.05,212.1,211.7,211.85,18364
2025-06-09T11:07:00+05:30,211.85,211.88,211.65,211.79,17968
2025-06-09T11:08:00+05:30,211.84,211.87,211.7,211.76,6504
2025-06-09T11:09:00+05:30,211.76,211.76,211.66,211.71,5439
2025-06-09T11:10:00+05:30,211.75,211.87,211.64,211.73,14727
2025-06-09T11:11:00+05:30,211.83,211.9,211.66,211.7,7441
2025-06-09T11:12:00+05:30,211.79,211.86,211.69,211.74,5755
2025-06-09T11:13:00+05:30,211.82,212.25,211.71,212.25,29011
2025-06-09T11:14:00+05:30,212.25,212.29,212.11,212.2,14855
2025-06-09T11:15:00+05:30,212.2,212.24,212.04,212.05,5769
2025-06-09T11:16:00+05:30,212.14,212.14,211.95,212.03,6515
2025-06-09T11:17:00+05:30,212.09,212.09,211.85,211.98,7170
2025-06-09T11:18:00+05:30,211.98,211.99,211.86,211.95,3640
2025-06-09T11:19:00+05:30,211.95,212.0,211.85,212.0,5196
2025-06-09T11:20:00+05:30,211.96,212.09,211.95,212.07,4429
2025-06-09T11:21:00+05:30,212.07,212.1,211.98,212.1,4412
2025-06-09T11:22:00+05:30,212.1,212.18,212.0,212.01,11888
2025-06-09T11:23:00+05:30,212.1,212.21,211.98,212.11,18211
2025-06-09T11:24:00+05:30,212.19,212.25,212.1,212.11,4497
2025-06-09T11:25:00+05:30,212.16,212.3,212.09,212.3,7632
2025-06-09T11:26:00+05:30,212.3,212.45,212.24,212.39,12928
2025-06-09T11:27:00+05:30,212.39,212.43,212.2,212.37,11546
2025-06-09T11:28:00+05:30,212.37,212.4,212.23,212.26,3868
2025-06-09T11:29:00+05:30,212.27,212.43,212.19,212.22,12336
2025-06-09T11:30:00+05:30,212.23,212.35,212.2,212.35,10302
