time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,72.51,72.64,72.02,72.59,1222174
2025-06-09T09:16:00+05:30,72.52,72.74,72.16,72.16,962129
2025-06-09T09:17:00+05:30,72.15,72.6,72.06,72.55,960358
2025-06-09T09:18:00+05:30,72.55,72.68,72.44,72.49,838161
2025-06-09T09:19:00+05:30,72.49,72.55,72.33,72.55,297883
2025-06-09T09:20:00+05:30,72.55,72.69,72.5,72.67,727927
2025-06-09T09:21:00+05:30,72.67,72.85,72.58,72.71,1240676
2025-06-09T09:22:00+05:30,72.71,72.96,72.65,72.91,1381310
2025-06-09T09:23:00+05:30,72.91,73.09,72.9,72.99,1311779
2025-06-09T09:24:00+05:30,72.98,73.02,72.8,72.82,1222613
2025-06-09T09:25:00+05:30,72.84,72.89,72.64,72.87,512093
2025-06-09T09:26:00+05:30,72.89,73.02,72.82,72.85,490383
2025-06-09T09:27:00+05:30,72.85,72.9,72.8,72.82,180102
2025-06-09T09:28:00+05:30,72.82,72.85,72.4,72.49,962120
2025-06-09T09:29:00+05:30,72.51,72.89,72.48,72.88,1056751
2025-06-09T09:30:00+05:30,72.88,72.96,72.8,72.84,619390
2025-06-09T09:31:00+05:30,72.84,72.94,72.8,72.82,209034
2025-06-09T09:32:00+05:30,72.84,72.9,72.73,72.87,487592
2025-06-09T09:33:00+05:30,72.86,73.05,72.85,73.0,740027
2025-06-09T09:34:00+05:30,73.0,73.05,72.95,73.0,497557
2025-06-09T09:35:00+05:30,73.0,73.08,72.92,73.01,240440
2025-06-09T09:36:00+05:30,72.99,73.08,72.92,72.96,530190
2025-06-09T09:37:00+05:30,72.95,73.02,72.91,72.97,281845
2025-06-09T09:38:00+05:30,72.98,73.0,72.94,72.99,89253
2025-06-09T09:39:00+05:30,72.99,73.0,72.81,72.87,472997
2025-06-09T09:40:00+05:30,72.88,73.0,72.86,72.99,522281
2025-06-09T09:41:00+05:30,73.0,73.0,72.93,72.99,171937
2025-06-09T09:42:00+05:30,72.99,73.0,72.85,72.97,194668
2025-06-09T09:43:00+05:30,72.98,73.05,72.93,73.04,272098
2025-06-09T09:44:00+05:30,73.04,73.05,72.97,73.0,116077
2025-06-09T09:45:00+05:30,73.0,73.03,72.95,72.99,161240
2025-06-09T09:46:00+05:30,72.99,73.02,72.95,73.0,515179
2025-06-09T09:47:00+05:30,73.0,73.02,72.85,72.88,181103
