time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,141.05,141.69,141.0,141.48,122124
2025-06-09T09:16:00+05:30,141.45,141.85,141.45,141.72,83369
2025-06-09T09:17:00+05:30,141.72,141.8,141.5,141.58,54675
2025-06-09T09:18:00+05:30,141.5,141.61,141.42,141.6,130408
2025-06-09T09:19:00+05:30,141.54,141.61,141.42,141.49,76114
2025-06-09T09:20:00+05:30,141.45,141.6,141.42,141.55,27943
2025-06-09T09:21:00+05:30,141.6,141.6,141.41,141.47,30485
2025-06-09T09:22:00+05:30,141.47,141.5,141.2,141.32,54156
2025-06-09T09:23:00+05:30,141.36,141.36,141.2,141.26,24751
2025-06-09T09:24:00+05:30,141.32,141.35,141.15,141.29,27487
2025-06-09T09:25:00+05:30,141.29,141.35,141.2,141.26,25998
2025-06-09T09:26:00+05:30,141.3,141.34,141.2,141.34,32685
2025-06-09T09:27:00+05:30,141.3,141.35,141.26,141.27,20895
2025-06-09T09:28:00+05:30,141.32,141.32,141.06,141.1,35102
2025-06-09T09:29:00+05:30,141.14,141.18,141.05,141.14,34834
2025-06-09T09:30:00+05:30,141.08,141.1,141.01,141.06,154571
2025-06-09T09:31:00+05:30,141.04,141.09,140.83,140.91,85618
2025-06-09T09:32:00+05:30,140.85,141.0,140.85,140.89,25487
2025-06-09T09:33:00+05:30,140.98,141.0,140.87,140.91,36451
2025-06-09T09:34:00+05:30,140.88,141.0,140.88,140.97,21975
2025-06-09T09:35:00+05:30,140.97,141.1,140.95,141.06,22617
2025-06-09T09:36:00+05:30,141.0,141.18,141.0,141.07,53647
2025-06-09T09:37:00+05:30,141.1,141.19,141.06,141.14,32324
2025-06-09T09:38:00+05:30,141.14,141.17,141.09,141.17,10194
2025-06-09T09:39:00+05:30,141.18,141.2,141.11,141.17,21726
2025-06-09T09:40:00+05:30,141.17,141.21,141.12,141.17,6625
2025-06-09T09:41:00+05:30,141.14,141.3,141.13,141.24,17064
2025-06-09T09:42:00+05:30,141.3,141.35,141.24,141.35,26117
2025-06-09T09:43:00+05:30,141.35,141.4,141.28,141.36,14687
2025-06-09T09:44:00+05:30,141.36,141.75,141.25,141.67,106040
2025-06-09T09:45:00+05:30,141.65,141.95,141.59,141.92,119427
2025-06-09T09:46:00+05:30,141.92,142.35,141.84,142.35,259000
2025-06-09T09:47:00+05:30,142.31,142.47,141.9,142.2,108673
2025-06-09T09:48:00+05:30,142.2,142.48,142.01,142.47,99158
2025-06-09T09:49:00+05:30,142.47,142.49,142.11,142.19,48514
2025-06-09T09:50:00+05:30,142.12,142.43,142.12,142.43,60353
2025-06-09T09:51:00+05:30,142.44,142.55,142.32,142.5,135231
2025-06-09T09:52:00+05:30,142.5,142.55,142.2,142.25,56643
2025-06-09T09:53:00+05:30,142.21,142.24,142.01,142.01,30255
2025-06-09T09:54:00+05:30,142.07,142.5,142.01,142.48,105975
2025-06-09T09:55:00+05:30,142.48,142.52,142.38,142.48,60931
2025-06-09T09:56:00+05:30,142.4,142.46,142.25,142.36,19963
2025-06-09T09:57:00+05:30,142.3,142.4,142.25,142.26,23444
2025-06-09T09:58:00+05:30,142.32,142.33,142.2,142.25,42231
2025-06-09T09:59:00+05:30,142.25,142.26,142.16,142.18,11926
2025-06-09T10:00:00+05:30,142.16,142.32,142.16,142.32,67442
2025-06-09T10:01:00+05:30,142.32,142.45,142.29,142.37,62470
2025-06-09T10:02:00+05:30,142.39,142.43,142.27,142.41,20280
2025-06-09T10:03:00+05:30,142.41,142.45,142.33,142.33,18134
2025-06-09T10:04:00+05:30,142.4,142.44,142.27,142.42,16103
2025-06-09T10:05:00+05:30,142.38,142.48,142.32,142.39,58807
2025-06-09T10:06:00+05:30,142.39,142.47,142.2,142.29,22218
2025-06-09T10:07:00+05:30,142.24,142.28,142.17,142.22,13822
2025-06-09T10:08:00+05:30,142.2,142.23,142.13,142.22,15722
2025-06-09T10:09:00+05:30,142.2,142.39,142.15,142.37,28213
2025-06-09T10:10:00+05:30,142.36,142.37,142.3,142.35,6246
2025-06-09T10:11:00+05:30,142.3,142.36,142.23,142.3,15863
2025-06-09T10:12:00+05:30,142.35,142.35,142.24,142.3,11020
2025-06-09T10:13:00+05:30,142.3,142.3,142.03,142.23,52340
2025-06-09T10:14:00+05:30,142.23,142.31,142.14,142.25,24518
2025-06-09T10:15:00+05:30,142.24,142.34,142.17,142.26,38170
2025-06-09T10:16:00+05:30,142.28,142.33,142.18,142.26,17807
2025-06-09T10:17:00+05:30,142.3,142.33,142.15,142.2,7667
2025-06-09T10:18:00+05:30,142.2,142.2,142.1,142.15,10466
2025-06-09T10:19:00+05:30,142.1,142.3,142.06,142.29,33924
2025-06-09T10:20:00+05:30,142.29,142.33,142.21,142.33,16150
2025-06-09T10:21:00+05:30,142.33,142.33,142.3,142.33,6190
2025-06-09T10:22:00+05:30,142.33,142.35,142.23,142.33,32922
2025-06-09T10:23:00+05:30,142.33,142.46,142.31,142.41,46378
2025-06-09T10:24:00+05:30,142.35,142.47,142.34,142.47,14942
2025-06-09T10:25:00+05:30,142.47,142.53,142.43,142.5,70275
2025-06-09T10:26:00+05:30,142.53,142.6,142.52,142.58,66746
2025-06-09T10:27:00+05:30,142.54,142.58,142.29,142.33,11924
2025-06-09T10:28:00+05:30,142.4,142.42,142.24,142.3,26342
2025-06-09T10:29:00+05:30,142.28,142.3,142.18,142.2,10293
2025-06-09T10:30:00+05:30,142.2,142.24,142.18,142.22,5737
2025-06-09T10:31:00+05:30,142.22,142.22,142.08,142.2,15769
2025-06-09T10:32:00+05:30,142.19,142.19,142.05,142.06,15522
2025-06-09T10:33:00+05:30,142.11,142.2,142.0,142.19,66592
2025-06-09T10:34:00+05:30,142.2,142.2,142.1,142.2,5433
2025-06-09T10:35:00+05:30,142.18,142.2,142.14,142.2,13411
2025-06-09T10:36:00+05:30,142.2,142.2,142.13,142.2,7423
2025-06-09T10:37:00+05:30,142.2,142.25,142.01,142.02,41101
2025-06-09T10:38:00+05:30,142.02,142.15,142.01,142.09,30330
2025-06-09T10:39:00+05:30,142.09,142.17,142.08,142.11,7647
2025-06-09T10:40:00+05:30,142.11,142.16,142.08,142.12,4601
2025-06-09T10:41:00+05:30,142.12,142.14,142.08,142.08,7252
2025-06-09T10:42:00+05:30,142.11,142.14,142.08,142.11,4829
2025-06-09T10:43:00+05:30,142.12,142.15,142.04,142.14,23193
2025-06-09T10:44:00+05:30,142.11,142.21,142.1,142.18,11100
2025-06-09T10:45:00+05:30,142.19,142.27,142.16,142.16,17664
2025-06-09T10:46:00+05:30,142.19,142.24,142.16,142.17,41041
2025-06-09T10:47:00+05:30,142.19,142.24,142.16,142.22,3835
2025-06-09T10:48:00+05:30,142.22,142.23,142.16,142.16,3262
2025-06-09T10:49:00+05:30,142.18,142.2,142.16,142.2,4560
2025-06-09T10:50:00+05:30,142.2,142.23,142.18,142.21,3632
2025-06-09T10:51:00+05:30,142.2,142.3,142.2,142.3,14543
2025-06-09T10:52:00+05:30,142.3,142.34,142.23,142.3,18175
2025-06-09T10:53:00+05:30,142.3,142.33,142.2,142.23,15134
2025-06-09T10:54:00+05:30,142.23,142.33,142.23,142.28,4443
2025-06-09T10:55:00+05:30,142.26,142.3,142.22,142.3,4985
2025-06-09T10:56:00+05:30,142.29,142.3,142.2,142.24,5986
2025-06-09T10:57:00+05:30,142.22,142.28,142.2,142.2,4311
2025-06-09T10:58:00+05:30,142.21,142.27,142.2,142.2,6521
2025-06-09T10:59:00+05:30,142.21,142.24,142.18,142.19,3350
2025-06-09T11:00:00+05:30,142.19,142.25,142.15,142.24,12531
2025-06-09T11:01:00+05:30,142.24,142.29,142.21,142.26,5523
2025-06-09T11:02:00+05:30,142.24,142.28,142.17,142.24,20048
2025-06-09T11:03:00+05:30,142.24,142.28,142.2,142.24,16706
2025-06-09T11:04:00+05:30,142.23,142.24,142.14,142.19,41099
2025-06-09T11:05:00+05:30,142.19,142.25,142.18,142.24,10412
2025-06-09T11:06:00+05:30,142.22,142.25,142.22,142.25,4919
2025-06-09T11:07:00+05:30,142.25,142.25,142.2,142.24,5866
2025-06-09T11:08:00+05:30,142.22,142.25,142.19,142.24,13399
2025-06-09T11:09:00+05:30,142.25,142.25,142.18,142.24,7151
2025-06-09T11:10:00+05:30,142.22,142.25,142.18,142.21,10888
2025-06-09T11:11:00+05:30,142.2,142.35,142.19,142.29,74645
2025-06-09T11:12:00+05:30,142.26,142.31,142.24,142.29,14852
2025-06-09T11:13:00+05:30,142.27,142.3,142.24,142.29,7910
2025-06-09T11:14:00+05:30,142.26,142.57,142.24,142.48,269617
2025-06-09T11:15:00+05:30,142.47,142.51,142.46,142.5,16869
2025-06-09T11:16:00+05:30,142.48,142.5,142.46,142.47,15568
2025-06-09T11:17:00+05:30,142.48,142.48,142.45,142.47,18001
2025-06-09T11:18:00+05:30,142.46,142.55,142.45,142.51,43439
2025-06-09T11:19:00+05:30,142.51,142.55,142.51,142.52,11030
2025-06-09T11:20:00+05:30,142.53,142.55,142.51,142.54,34365
2025-06-09T11:21:00+05:30,142.53,142.7,142.47,142.48,64647
2025-06-09T11:22:00+05:30,142.47,142.5,142.4,142.46,29393
2025-06-09T11:23:00+05:30,142.4,142.43,142.29,142.43,18190
2025-06-09T11:24:00+05:30,142.38,142.42,142.35,142.37,6802
2025-06-09T11:25:00+05:30,142.38,142.38,142.37,142.37,5247
2025-06-09T11:26:00+05:30,142.38,142.41,142.37,142.37,11892
2025-06-09T11:27:00+05:30,142.38,142.4,142.32,142.35,5656
2025-06-09T11:28:00+05:30,142.32,142.37,142.21,142.21,13060
2025-06-09T11:29:00+05:30,142.21,142.29,142.21,142.29,3218
2025-06-09T11:30:00+05:30,142.26,142.35,142.24,142.29,8300
2025-06-09T11:31:00+05:30,142.29,142.37,142.29,142.37,6041
2025-06-09T11:32:00+05:30,142.35,142.38,142.27,142.33,12459
2025-06-09T11:33:00+05:30,142.35,142.4,142.27,142.39,23201
2025-06-09T11:34:00+05:30,142.38,142.44,142.33,142.34,8018
2025-06-09T11:35:00+05:30,142.36,142.43,142.33,142.36,4833
2025-06-09T11:36:00+05:30,142.36,142.43,142.34,142.38,8819
2025-06-09T11:37:00+05:30,142.36,142.41,142.31,142.31,15207
2025-06-09T11:38:00+05:30,142.31,142.36,142.31,142.31,9144
2025-06-09T11:39:00+05:30,142.31,142.38,142.27,142.31,4469
2025-06-09T11:40:00+05:30,142.34,142.37,142.31,142.36,4780
2025-06-09T11:41:00+05:30,142.33,142.38,142.31,142.35,3527
2025-06-09T11:42:00+05:30,142.33,142.35,142.21,142.24,14908
2025-06-09T11:43:00+05:30,142.24,142.35,142.24,142.32,1792
2025-06-09T11:44:00+05:30,142.32,142.35,142.31,142.32,3808
2025-06-09T11:45:00+05:30,142.33,142.35,142.31,142.34,2920
