time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,191.74,193.44,191.3,192.62,416241
2025-06-09T09:16:00+05:30,192.61,193.13,192.3,192.87,307048
2025-06-09T09:17:00+05:30,192.69,192.96,192.3,192.62,137138
2025-06-09T09:18:00+05:30,192.62,193.29,192.6,193.2,128151
2025-06-09T09:19:00+05:30,193.26,193.4,192.8,192.95,135441
2025-06-09T09:20:00+05:30,192.95,192.99,192.36,192.57,124191
2025-06-09T09:21:00+05:30,192.57,192.88,192.45,192.59,69992
2025-06-09T09:22:00+05:30,192.57,192.78,192.35,192.66,75836
2025-06-09T09:23:00+05:30,192.77,192.77,192.4,192.69,75244
2025-06-09T09:24:00+05:30,192.7,192.85,192.4,192.84,61611
2025-06-09T09:25:00+05:30,192.84,193.12,192.56,193.12,64902
2025-06-09T09:26:00+05:30,193.01,193.5,192.93,193.35,98992
2025-06-09T09:27:00+05:30,193.37,193.5,193.24,193.27,50625
2025-06-09T09:28:00+05:30,193.38,193.4,192.86,193.02,48638
2025-06-09T09:29:00+05:30,193.2,193.4,192.89,193.38,52300
2025-06-09T09:30:00+05:30,193.28,193.4,193.03,193.1,30939
2025-06-09T09:31:00+05:30,193.2,193.5,193.09,193.4,61631
2025-06-09T09:32:00+05:30,193.31,193.75,193.12,193.73,82681
2025-06-09T09:33:00+05:30,193.62,193.9,193.51,193.83,95572
2025-06-09T09:34:00+05:30,193.73,193.99,193.62,193.79,103952
2025-06-09T09:35:00+05:30,193.78,193.84,193.12,193.26,77216
2025-06-09T09:36:00+05:30,193.15,193.3,192.77,192.8,96001
2025-06-09T09:37:00+05:30,192.8,193.5,192.8,193.4,39677
2025-06-09T09:38:00+05:30,193.4,193.7,193.37,193.6,27237
2025-06-09T09:39:00+05:30,193.67,194.3,193.5,194.17,189298
2025-06-09T09:40:00+05:30,194.18,194.42,194.06,194.32,209742
2025-06-09T09:41:00+05:30,194.31,194.5,194.23,194.5,114552
2025-06-09T09:42:00+05:30,194.5,194.58,194.31,194.56,106244
2025-06-09T09:43:00+05:30,194.48,194.69,194.25,194.33,78514
2025-06-09T09:44:00+05:30,194.33,194.37,193.98,194.3,101713
2025-06-09T09:45:00+05:30,194.3,194.55,194.22,194.45,58093
2025-06-09T09:46:00+05:30,194.45,194.48,194.13,194.24,85795
