time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,73.0,73.38,72.67,73.3,509034
2025-06-09T09:16:00+05:30,73.3,73.35,73.1,73.27,282888
2025-06-09T09:17:00+05:30,73.27,73.5,73.21,73.48,315608
2025-06-09T09:18:00+05:30,73.48,73.49,73.4,73.49,210228
2025-06-09T09:19:00+05:30,73.47,73.8,73.47,73.78,383664
2025-06-09T09:20:00+05:30,73.73,73.8,73.65,73.73,210610
2025-06-09T09:21:00+05:30,73.73,73.9,73.68,73.82,354738
2025-06-09T09:22:00+05:30,73.82,73.82,73.5,73.65,217371
2025-06-09T09:23:00+05:30,73.64,73.65,73.4,73.43,114892
2025-06-09T09:24:00+05:30,73.39,73.46,73.3,73.43,123145
2025-06-09T09:25:00+05:30,73.42,73.46,73.31,73.45,156626
2025-06-09T09:26:00+05:30,73.42,73.58,73.39,73.44,151148
2025-06-09T09:27:00+05:30,73.39,73.55,73.35,73.49,88662
2025-06-09T09:28:00+05:30,73.5,73.7,73.39,73.7,299015
2025-06-09T09:29:00+05:30,73.7,73.84,73.58,73.72,275232
2025-06-09T09:30:00+05:30,73.75,73.95,73.68,73.84,423641
2025-06-09T09:31:00+05:30,73.83,73.95,73.79,73.85,181275
2025-06-09T09:32:00+05:30,73.85,73.95,73.76,73.94,194916
2025-06-09T09:33:00+05:30,73.92,74.15,73.88,73.95,764840
2025-06-09T09:34:00+05:30,74.0,74.15,73.85,73.93,288549
2025-06-09T09:35:00+05:30,73.91,74.02,73.9,73.97,73963
2025-06-09T09:36:00+05:30,73.97,74.1,73.96,74.04,331016
2025-06-09T09:37:00+05:30,74.04,74.1,74.01,74.06,87690
2025-06-09T09:38:00+05:30,74.06,74.2,74.01,74.11,384428
2025-06-09T09:39:00+05:30,74.11,74.14,73.93,73.96,151041
2025-06-09T09:40:00+05:30,73.96,73.98,73.9,73.93,105393
2025-06-09T09:41:00+05:30,73.93,73.95,73.88,73.91,62873
2025-06-09T09:42:00+05:30,73.88,73.94,73.79,73.85,116454
2025-06-09T09:43:00+05:30,73.83,73.9,73.81,73.84,69325
2025-06-09T09:44:00+05:30,73.86,73.94,73.84,73.87,70043
2025-06-09T09:45:00+05:30,73.87,74.0,73.86,74.0,160733
2025-06-09T09:46:00+05:30,74.0,74.07,73.9,73.99,270375
2025-06-09T09:47:00+05:30,73.99,74.2,73.96,74.0,205505
2025-06-09T09:48:00+05:30,74.05,74.23,73.96,74.05,497572
2025-06-09T09:49:00+05:30,74.05,74.09,73.96,74.04,230043
2025-06-09T09:50:00+05:30,74.02,74.05,73.94,74.0,147547
2025-06-09T09:51:00+05:30,73.96,74.01,73.96,74.0,56116
2025-06-09T09:52:00+05:30,74.0,74.03,73.9,74.0,222223
2025-06-09T09:53:00+05:30,74.0,74.02,73.93,73.96,86910
2025-06-09T09:54:00+05:30,73.95,74.0,73.93,74.0,68193
2025-06-09T09:55:00+05:30,73.96,74.04,73.95,74.0,128914
2025-06-09T09:56:00+05:30,74.01,74.05,73.96,74.0,100354
2025-06-09T09:57:00+05:30,73.96,74.0,73.9,73.93,43825
2025-06-09T09:58:00+05:30,73.94,73.96,73.9,73.94,42828
2025-06-09T09:59:00+05:30,73.93,73.96,73.9,73.95,49986
2025-06-09T10:00:00+05:30,73.94,74.09,73.92,74.06,167403
2025-06-09T10:01:00+05:30,74.06,74.07,73.95,73.96,141302
2025-06-09T10:02:00+05:30,74.01,74.01,73.9,73.93,191354
2025-06-09T10:03:00+05:30,73.9,73.94,73.81,73.82,65665
2025-06-09T10:04:00+05:30,73.86,73.88,73.83,73.83,29324
2025-06-09T10:05:00+05:30,73.86,73.86,73.72,73.81,112701
2025-06-09T10:06:00+05:30,73.82,73.85,73.7,73.71,133623
2025-06-09T10:07:00+05:30,73.72,73.8,73.71,73.77,67211
2025-06-09T10:08:00+05:30,73.77,73.89,73.75,73.86,44054
2025-06-09T10:09:00+05:30,73.86,73.91,73.84,73.91,36108
2025-06-09T10:10:00+05:30,73.89,74.0,73.89,73.96,74190
2025-06-09T10:11:00+05:30,73.97,74.0,73.93,73.99,23980
2025-06-09T10:12:00+05:30,73.99,73.99,73.9,73.9,24757
2025-06-09T10:13:00+05:30,73.9,73.93,73.88,73.9,22264
2025-06-09T10:14:00+05:30,73.88,73.91,73.88,73.9,33452
2025-06-09T10:15:00+05:30,73.88,73.95,73.88,73.91,46210
2025-06-09T10:16:00+05:30,73.92,74.05,73.88,74.0,175656
2025-06-09T10:17:00+05:30,74.04,74.05,73.93,74.0,26476
2025-06-09T10:18:00+05:30,73.97,74.0,73.84,73.88,69677
2025-06-09T10:19:00+05:30,73.88,74.09,73.88,74.09,338198
2025-06-09T10:20:00+05:30,74.07,74.1,74.0,74.02,128329
2025-06-09T10:21:00+05:30,74.0,74.03,73.97,73.98,47914
2025-06-09T10:22:00+05:30,74.0,74.05,73.97,74.02,105020
2025-06-09T10:23:00+05:30,74.01,74.04,73.96,74.0,56572
2025-06-09T10:24:00+05:30,74.0,74.0,73.96,74.0,25029
2025-06-09T10:25:00+05:30,73.99,74.08,73.96,74.06,55364
2025-06-09T10:26:00+05:30,74.07,74.1,74.05,74.05,76077
2025-06-09T10:27:00+05:30,74.07,74.09,74.0,74.01,32515
2025-06-09T10:28:00+05:30,74.03,74.03,73.96,73.96,29747
2025-06-09T10:29:00+05:30,73.97,74.03,73.96,74.01,29421
2025-06-09T10:30:00+05:30,74.02,74.05,74.01,74.03,29951
2025-06-09T10:31:00+05:30,74.03,74.05,73.98,74.04,46921
2025-06-09T10:32:00+05:30,74.01,74.1,74.01,74.08,37852
2025-06-09T10:33:00+05:30,74.07,74.1,74.04,74.08,56373
2025-06-09T10:34:00+05:30,74.08,74.09,74.02,74.05,26234
2025-06-09T10:35:00+05:30,74.04,74.07,74.0,74.02,62142
2025-06-09T10:36:00+05:30,74.0,74.02,73.98,74.02,80704
2025-06-09T10:37:00+05:30,74.01,74.05,74.0,74.02,50050
2025-06-09T10:38:00+05:30,74.02,74.03,73.97,74.0,60226
2025-06-09T10:39:00+05:30,74.0,74.0,73.97,73.97,36045
2025-06-09T10:40:00+05:30,73.97,74.05,73.97,74.04,62533
2025-06-09T10:41:00+05:30,74.04,74.05,73.9,73.98,334521
2025-06-09T10:42:00+05:30,73.99,74.04,73.93,74.04,82900
2025-06-09T10:43:00+05:30,74.0,74.04,73.99,74.01,61170
2025-06-09T10:44:00+05:30,74.01,74.19,74.0,74.18,505395
2025-06-09T10:45:00+05:30,74.17,74.25,74.12,74.15,202829
2025-06-09T10:46:00+05:30,74.12,74.15,74.06,74.09,46792
2025-06-09T10:47:00+05:30,74.09,74.11,74.05,74.09,86607
2025-06-09T10:48:00+05:30,74.09,74.14,74.05,74.11,124828
2025-06-09T10:49:00+05:30,74.1,74.1,74.01,74.08,72511
2025-06-09T10:50:00+05:30,74.06,74.08,74.01,74.04,72563
2025-06-09T10:51:00+05:30,74.03,74.08,74.03,74.07,51036
2025-06-09T10:52:00+05:30,74.07,74.09,74.04,74.07,22033
2025-06-09T10:53:00+05:30,74.07,74.08,74.01,74.01,53137
2025-06-09T10:54:00+05:30,74.05,74.1,74.0,74.1,103071
2025-06-09T10:55:00+05:30,74.1,74.12,74.03,74.1,21380
2025-06-09T10:56:00+05:30,74.1,74.11,74.03,74.07,26762
2025-06-09T10:57:00+05:30,74.07,74.07,74.0,74.05,26697
2025-06-09T10:58:00+05:30,74.04,74.07,74.02,74.07,20935
2025-06-09T10:59:00+05:30,74.07,74.18,74.03,74.05,149491
2025-06-09T11:00:00+05:30,74.08,74.09,74.05,74.08,38134
2025-06-09T11:01:00+05:30,74.08,74.16,74.05,74.14,96241
2025-06-09T11:02:00+05:30,74.14,74.14,74.09,74.12,26930
2025-06-09T11:03:00+05:30,74.12,74.12,74.08,74.09,30599
2025-06-09T11:04:00+05:30,74.09,74.14,74.08,74.14,28761
2025-06-09T11:05:00+05:30,74.14,74.15,74.11,74.14,50736
2025-06-09T11:06:00+05:30,74.14,74.15,74.13,74.15,36116
2025-06-09T11:07:00+05:30,74.13,74.18,74.13,74.16,74400
2025-06-09T11:08:00+05:30,74.16,74.18,74.13,74.15,58767
2025-06-09T11:09:00+05:30,74.15,74.15,74.05,74.09,128998
2025-06-09T11:10:00+05:30,74.09,74.15,74.08,74.14,24160
2025-06-09T11:11:00+05:30,74.14,74.17,74.12,74.13,55458
2025-06-09T11:12:00+05:30,74.17,74.18,74.11,74.16,72828
2025-06-09T11:13:00+05:30,74.15,74.16,74.1,74.12,40661
2025-06-09T11:14:00+05:30,74.13,74.14,74.09,74.11,53791
2025-06-09T11:15:00+05:30,74.11,74.11,74.08,74.1,22370
2025-06-09T11:16:00+05:30,74.1,74.1,74.02,74.03,83542
2025-06-09T11:17:00+05:30,74.02,74.05,74.02,74.02,23849
2025-06-09T11:18:00+05:30,74.02,74.05,74.02,74.02,23546
2025-06-09T11:19:00+05:30,74.02,74.07,74.01,74.07,42838
2025-06-09T11:20:00+05:30,74.07,74.1,74.05,74.07,46639
2025-06-09T11:21:00+05:30,74.07,74.1,74.01,74.05,44824
2025-06-09T11:22:00+05:30,74.01,74.09,74.01,74.07,21497
2025-06-09T11:23:00+05:30,74.05,74.09,74.03,74.05,13838
2025-06-09T11:24:00+05:30,74.07,74.1,74.05,74.1,14126
2025-06-09T11:25:00+05:30,74.1,74.15,74.06,74.12,128431
2025-06-09T11:26:00+05:30,74.1,74.14,74.1,74.13,14505
2025-06-09T11:27:00+05:30,74.12,74.12,74.05,74.06,14041
2025-06-09T11:28:00+05:30,74.07,74.1,74.06,74.1,14339
2025-06-09T11:29:00+05:30,74.07,74.1,74.05,74.1,13440
2025-06-09T11:30:00+05:30,74.1,74.1,74.05,74.08,17485
2025-06-09T11:31:00+05:30,74.09,74.09,74.05,74.08,37476
2025-06-09T11:32:00+05:30,74.05,74.15,74.05,74.12,86725
2025-06-09T11:33:00+05:30,74.13,74.23,74.12,74.23,203825
2025-06-09T11:34:00+05:30,74.2,74.28,74.19,74.28,163885
2025-06-09T11:35:00+05:30,74.28,74.35,74.26,74.31,203459
2025-06-09T11:36:00+05:30,74.33,74.4,74.31,74.37,123134
2025-06-09T11:37:00+05:30,74.37,74.4,74.3,74.31,133895
2025-06-09T11:38:00+05:30,74.36,74.4,74.3,74.39,151421
2025-06-09T11:39:00+05:30,74.39,74.43,74.37,74.43,103610
2025-06-09T11:40:00+05:30,74.4,74.43,74.4,74.42,70562
2025-06-09T11:41:00+05:30,74.42,74.43,74.32,74.35,76651
