time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,197.2,198.16,197.15,197.88,11022
2025-06-09T09:16:00+05:30,197.88,198.29,197.8,198.07,20093
2025-06-09T09:17:00+05:30,198.03,198.29,197.89,197.93,13114
2025-06-09T09:18:00+05:30,197.84,198.08,197.71,198.0,37688
2025-06-09T09:19:00+05:30,197.99,198.63,197.87,198.63,7899
2025-06-09T09:20:00+05:30,198.63,198.75,198.5,198.5,29069
2025-06-09T09:21:00+05:30,198.41,198.41,198.01,198.34,11701
2025-06-09T09:22:00+05:30,198.31,198.38,198.15,198.26,4701
2025-06-09T09:23:00+05:30,198.35,198.35,197.82,197.95,15696
2025-06-09T09:24:00+05:30,197.87,197.91,197.31,197.58,7689
2025-06-09T09:25:00+05:30,197.58,197.89,197.5,197.89,9701
2025-06-09T09:26:00+05:30,197.89,198.38,197.89,197.89,40257
2025-06-09T09:27:00+05:30,198.0,198.15,197.82,197.82,18662
2025-06-09T09:28:00+05:30,197.9,197.9,197.53,197.56,21326
2025-06-09T09:29:00+05:30,197.56,197.56,197.25,197.32,9853
2025-06-09T09:30:00+05:30,197.25,197.4,197.1,197.24,7232
2025-06-09T09:31:00+05:30,197.24,197.71,197.24,197.71,7599
2025-06-09T09:32:00+05:30,197.71,197.8,197.7,197.77,3408
2025-06-09T09:33:00+05:30,197.8,197.87,197.58,197.65,25907
2025-06-09T09:34:00+05:30,197.64,197.65,197.39,197.53,5049
2025-06-09T09:35:00+05:30,197.5,197.77,197.48,197.64,3353
2025-06-09T09:36:00+05:30,197.63,197.77,197.59,197.77,7261
2025-06-09T09:37:00+05:30,197.72,197.83,197.72,197.76,6812
2025-06-09T09:38:00+05:30,197.71,197.72,197.56,197.7,4755
2025-06-09T09:39:00+05:30,197.69,197.84,197.55,197.67,4581
2025-06-09T09:40:00+05:30,197.67,197.73,197.58,197.71,3628
2025-06-09T09:41:00+05:30,197.71,197.74,197.62,197.74,2842
2025-06-09T09:42:00+05:30,197.74,197.74,197.6,197.69,14272
2025-06-09T09:43:00+05:30,197.65,197.83,197.6,197.8,5359
2025-06-09T09:44:00+05:30,197.8,197.95,197.8,197.95,2288
2025-06-09T09:45:00+05:30,197.95,197.99,197.8,197.8,7268
2025-06-09T09:46:00+05:30,197.8,197.8,197.68,197.75,10487
2025-06-09T09:47:00+05:30,197.67,197.75,197.55,197.55,5482
2025-06-09T09:48:00+05:30,197.55,197.62,197.13,197.35,14680
2025-06-09T09:49:00+05:30,197.4,197.6,197.4,197.6,3921
2025-06-09T09:50:00+05:30,197.6,197.64,197.54,197.56,6777
2025-06-09T09:51:00+05:30,197.64,197.74,197.59,197.63,3755
2025-06-09T09:52:00+05:30,197.63,197.71,197.61,197.71,1176
2025-06-09T09:53:00+05:30,197.71,197.75,197.6,197.74,7489
2025-06-09T09:54:00+05:30,197.67,197.74,197.56,197.61,6418
2025-06-09T09:55:00+05:30,197.6,197.7,197.56,197.66,5877
2025-06-09T09:56:00+05:30,197.66,197.87,197.63,197.87,7072
2025-06-09T09:57:00+05:30,197.87,197.87,197.67,197.67,6951
2025-06-09T09:58:00+05:30,197.75,197.83,197.6,197.83,5646
2025-06-09T09:59:00+05:30,197.79,197.84,197.59,197.59,2144
2025-06-09T10:00:00+05:30,197.68,197.92,197.61,197.69,7103
2025-06-09T10:01:00+05:30,197.68,197.95,197.62,197.83,3116
2025-06-09T10:02:00+05:30,197.83,197.94,197.73,197.85,3187
2025-06-09T10:03:00+05:30,197.85,197.93,197.68,197.83,6935
2025-06-09T10:04:00+05:30,197.83,197.85,197.72,197.8,6177
2025-06-09T10:05:00+05:30,197.8,198.14,197.8,197.9,15520
2025-06-09T10:06:00+05:30,197.94,198.05,197.88,198.0,4957
2025-06-09T10:07:00+05:30,198.0,198.09,197.87,197.95,6914
2025-06-09T10:08:00+05:30,197.99,197.99,197.72,197.92,22484
2025-06-09T10:09:00+05:30,197.92,197.94,197.85,197.92,3435
2025-06-09T10:10:00+05:30,197.92,197.96,197.9,197.95,1223
2025-06-09T10:11:00+05:30,197.92,197.96,197.61,197.61,14220
2025-06-09T10:12:00+05:30,197.63,197.85,197.61,197.84,2295
2025-06-09T10:13:00+05:30,197.77,197.94,197.77,197.94,3820
2025-06-09T10:14:00+05:30,197.9,197.93,197.77,197.84,4071
2025-06-09T10:15:00+05:30,197.92,197.92,197.67,197.67,2659
2025-06-09T10:16:00+05:30,197.68,197.88,197.68,197.88,1730
2025-06-09T10:17:00+05:30,197.8,197.91,197.79,197.86,1205
2025-06-09T10:18:00+05:30,197.91,198.06,197.91,198.06,5501
2025-06-09T10:19:00+05:30,198.07,198.15,198.0,198.15,2428
2025-06-09T10:20:00+05:30,198.15,198.34,198.01,198.17,13409
2025-06-09T10:21:00+05:30,198.08,198.22,198.08,198.22,1840
2025-06-09T10:22:00+05:30,198.13,199.09,198.13,199.09,19933
2025-06-09T10:23:00+05:30,198.99,199.4,198.99,199.05,57941
2025-06-09T10:24:00+05:30,199.05,199.09,198.89,199.0,26502
2025-06-09T10:25:00+05:30,199.03,199.11,199.0,199.02,3358
2025-06-09T10:26:00+05:30,199.08,199.08,198.97,199.07,5767
2025-06-09T10:27:00+05:30,199.01,199.14,199.01,199.01,11436
2025-06-09T10:28:00+05:30,199.1,199.11,198.98,199.0,9668
2025-06-09T10:29:00+05:30,199.0,199.08,198.98,199.01,6377
2025-06-09T10:30:00+05:30,199.05,199.15,199.0,199.0,16356
2025-06-09T10:31:00+05:30,199.02,199.15,199.0,199.15,6367
2025-06-09T10:32:00+05:30,199.15,199.34,199.08,199.31,23340
2025-06-09T10:33:00+05:30,199.26,199.27,199.02,199.08,8275
2025-06-09T10:34:00+05:30,199.08,199.17,198.86,199.05,13493
2025-06-09T10:35:00+05:30,199.05,199.11,199.0,199.11,5242
2025-06-09T10:36:00+05:30,199.11,199.14,199.0,199.0,2172
2025-06-09T10:37:00+05:30,199.0,199.13,199.0,199.13,4431
2025-06-09T10:38:00+05:30,199.09,199.78,199.08,199.65,34915
2025-06-09T10:39:00+05:30,199.65,199.7,199.47,199.6,54092
2025-06-09T10:40:00+05:30,199.62,199.66,199.47,199.49,16923
2025-06-09T10:41:00+05:30,199.5,199.51,199.24,199.37,7616
2025-06-09T10:42:00+05:30,199.28,199.39,199.2,199.33,14844
2025-06-09T10:43:00+05:30,199.35,199.6,199.35,199.51,11698
2025-06-09T10:44:00+05:30,199.59,199.75,199.51,199.7,14403
2025-06-09T10:45:00+05:30,199.7,199.85,199.62,199.85,11040
2025-06-09T10:46:00+05:30,199.85,200.29,199.75,200.15,190817
2025-06-09T10:47:00+05:30,200.11,201.06,199.93,201.06,66009
2025-06-09T10:48:00+05:30,201.06,201.17,200.83,201.0,57459
2025-06-09T10:49:00+05:30,201.0,201.09,200.83,200.93,25172
2025-06-09T10:50:00+05:30,200.93,201.22,200.72,200.79,35213
2025-06-09T10:51:00+05:30,200.79,200.96,200.54,200.95,10540
2025-06-09T10:52:00+05:30,200.86,201.3,200.84,201.07,56626
2025-06-09T10:53:00+05:30,201.01,201.13,201.0,201.1,11452
2025-06-09T10:54:00+05:30,201.06,201.25,201.0,201.06,12718
2025-06-09T10:55:00+05:30,201.1,201.18,201.0,201.04,17375
2025-06-09T10:56:00+05:30,201.05,201.25,201.04,201.25,17528
2025-06-09T10:57:00+05:30,201.25,201.4,201.17,201.28,17745
2025-06-09T10:58:00+05:30,201.3,201.38,201.2,201.3,19136
2025-06-09T10:59:00+05:30,201.38,201.41,201.3,201.4,7276
2025-06-09T11:00:00+05:30,201.4,201.5,201.35,201.5,17707
2025-06-09T11:01:00+05:30,201.5,201.58,201.4,201.43,23199
2025-06-09T11:02:00+05:30,201.43,201.85,201.31,201.51,72314
2025-06-09T11:03:00+05:30,201.51,201.61,201.0,201.46,39983
2025-06-09T11:04:00+05:30,201.46,201.59,201.38,201.55,14850
2025-06-09T11:05:00+05:30,201.51,201.88,201.36,201.59,44266
2025-06-09T11:06:00+05:30,201.66,201.99,199.71,200.0,1511218
2025-06-09T11:07:00+05:30,200.0,200.98,199.93,200.78,1052816
2025-06-09T11:08:00+05:30,200.78,201.13,200.5,200.87,178297
2025-06-09T11:09:00+05:30,200.87,201.01,200.67,200.86,64511
2025-06-09T11:10:00+05:30,200.81,201.01,200.77,201.01,93814
2025-06-09T11:11:00+05:30,201.01,201.25,200.85,201.07,69527
2025-06-09T11:12:00+05:30,200.98,201.23,200.87,201.14,37295
2025-06-09T11:13:00+05:30,201.14,201.39,200.97,201.09,59777
2025-06-09T11:14:00+05:30,201.03,201.23,200.91,201.08,44699
2025-06-09T11:15:00+05:30,201.08,201.25,200.99,201.2,13977
2025-06-09T11:16:00+05:30,201.2,201.46,201.19,201.46,28232
2025-06-09T11:17:00+05:30,201.46,201.64,201.38,201.46,25135
2025-06-09T11:18:00+05:30,201.48,201.65,201.46,201.65,12976
2025-06-09T11:19:00+05:30,201.65,201.8,201.51,201.78,29027
2025-06-09T11:20:00+05:30,201.71,201.8,201.23,201.42,21966
2025-06-09T11:21:00+05:30,201.42,201.47,200.97,200.97,6551
2025-06-09T11:22:00+05:30,201.0,201.52,200.81,201.48,19273
2025-06-09T11:23:00+05:30,201.48,201.74,201.2,201.6,30461
2025-06-09T11:24:00+05:30,201.6,201.7,201.32,201.51,17088
2025-06-09T11:25:00+05:30,201.51,201.67,201.4,201.56,21390
2025-06-09T11:26:00+05:30,201.59,201.65,201.03,201.06,33959
2025-06-09T11:27:00+05:30,201.06,201.17,200.9,201.0,15141
2025-06-09T11:28:00+05:30,200.99,201.12,200.79,200.97,21922
2025-06-09T11:29:00+05:30,200.9,201.14,200.88,200.94,8294
2025-06-09T11:30:00+05:30,201.0,201.1,200.8,200.93,19613
2025-06-09T11:31:00+05:30,200.94,201.18,200.89,200.9,17698
2025-06-09T11:32:00+05:30,200.97,201.31,200.88,201.2,26211
2025-06-09T11:33:00+05:30,201.14,201.44,201.02,201.13,48322
2025-06-09T11:34:00+05:30,201.12,201.55,201.12,201.25,78421
2025-06-09T11:35:00+05:30,201.25,201.55,201.24,201.49,37750
2025-06-09T11:36:00+05:30,201.47,201.53,201.11,201.29,44973
2025-06-09T11:37:00+05:30,201.29,201.35,201.1,201.32,9078
2025-06-09T11:38:00+05:30,201.33,201.43,201.22,201.29,26107
2025-06-09T11:39:00+05:30,201.29,201.51,201.25,201.32,14179
2025-06-09T11:40:00+05:30,201.33,201.46,201.25,201.3,18859
2025-06-09T11:41:00+05:30,201.3,201.36,201.01,201.06,20485
2025-06-09T11:42:00+05:30,201.06,201.34,201.02,201.09,8960
2025-06-09T11:43:00+05:30,201.09,201.26,201.01,201.12,14741
2025-06-09T11:44:00+05:30,201.12,201.22,200.84,200.89,36408
2025-06-09T11:45:00+05:30,200.89,201.19,200.89,201.0,14879
2025-06-09T11:46:00+05:30,201.0,201.11,200.9,200.94,10997
2025-06-09T11:47:00+05:30,200.94,201.13,200.94,201.07,6022
2025-06-09T11:48:00+05:30,201.07,201.15,200.88,200.93,12030
2025-06-09T11:49:00+05:30,200.93,201.0,200.86,200.89,4680
2025-06-09T11:50:00+05:30,200.97,201.04,200.88,200.92,10998
2025-06-09T11:51:00+05:30,200.91,200.99,200.66,200.87,32766
2025-06-09T11:52:00+05:30,200.87,201.0,200.81,200.89,16883
2025-06-09T11:53:00+05:30,200.96,201.0,200.84,200.98,21837
2025-06-09T11:54:00+05:30,200.9,200.99,200.89,200.93,3391
2025-06-09T11:55:00+05:30,200.94,200.95,200.8,200.87,12333
2025-06-09T11:56:00+05:30,200.87,200.99,200.85,200.92,9230
2025-06-09T11:57:00+05:30,200.93,201.2,200.93,201.2,47591
2025-06-09T11:58:00+05:30,201.22,201.4,201.13,201.33,27106
2025-06-09T11:59:00+05:30,201.33,201.43,201.31,201.34,7609
2025-06-09T12:00:00+05:30,201.35,201.41,201.25,201.33,33537
2025-06-09T12:01:00+05:30,201.33,201.44,201.23,201.32,18470
2025-06-09T12:02:00+05:30,201.32,201.45,201.31,201.37,9794
2025-06-09T12:03:00+05:30,201.38,201.81,201.36,201.75,61544
2025-06-09T12:04:00+05:30,201.75,201.75,201.18,201.73,30847
2025-06-09T12:05:00+05:30,201.69,201.77,201.31,201.59,8966
2025-06-09T12:06:00+05:30,201.58,201.65,201.22,201.33,19882
2025-06-09T12:07:00+05:30,201.33,201.33,201.0,201.29,10352
2025-06-09T12:08:00+05:30,201.29,201.49,201.16,201.33,7197
2025-06-09T12:09:00+05:30,201.33,201.45,201.12,201.24,6275
2025-06-09T12:10:00+05:30,201.24,201.48,201.03,201.33,16970
2025-06-09T12:11:00+05:30,201.33,201.38,201.12,201.29,8022
2025-06-09T12:12:00+05:30,201.29,201.3,201.0,201.09,5966
2025-06-09T12:13:00+05:30,201.19,201.31,201.0,201.29,8648
2025-06-09T12:14:00+05:30,201.24,201.84,201.12,201.83,126149
2025-06-09T12:15:00+05:30,201.84,202.1,201.78,201.98,109380
2025-06-09T12:16:00+05:30,201.98,202.11,201.96,202.05,32378
2025-06-09T12:17:00+05:30,202.0,202.14,201.88,202.0,36651
2025-06-09T12:18:00+05:30,201.95,202.15,201.85,202.02,16705
2025-06-09T12:19:00+05:30,201.94,202.1,201.83,201.95,31784
2025-06-09T12:20:00+05:30,201.95,202.03,201.84,201.94,28044
2025-06-09T12:21:00+05:30,201.84,202.0,201.84,202.0,15934
2025-06-09T12:22:00+05:30,201.94,202.06,201.86,202.0,15000
2025-06-09T12:23:00+05:30,202.0,202.08,201.92,201.96,6425
2025-06-09T12:24:00+05:30,201.96,202.07,201.94,202.03,11411
2025-06-09T12:25:00+05:30,202.06,202.1,201.98,202.1,9224
2025-06-09T12:26:00+05:30,202.1,202.31,202.03,202.07,23594
2025-06-09T12:27:00+05:30,202.07,202.21,202.06,202.12,5576
2025-06-09T12:28:00+05:30,202.2,202.29,202.12,202.29,6735
2025-06-09T12:29:00+05:30,202.23,202.29,202.18,202.26,18544
2025-06-09T12:30:00+05:30,202.26,202.39,202.25,202.37,7936
2025-06-09T12:31:00+05:30,202.37,202.63,202.27,202.62,55671
2025-06-09T12:32:00+05:30,202.62,202.65,202.42,202.55,39043
2025-06-09T12:33:00+05:30,202.55,202.83,202.46,202.46,40113
2025-06-09T12:34:00+05:30,202.46,202.75,202.31,202.61,20044
2025-06-09T12:35:00+05:30,202.69,202.75,202.6,202.75,30868
2025-06-09T12:36:00+05:30,202.74,202.75,202.69,202.72,6302
2025-06-09T12:37:00+05:30,202.75,202.99,202.71,202.94,25327
2025-06-09T12:38:00+05:30,202.99,203.0,202.9,202.97,31299
2025-06-09T12:39:00+05:30,202.9,202.95,202.68,202.85,11474
2025-06-09T12:40:00+05:30,202.85,202.9,202.71,202.89,9952
2025-06-09T12:41:00+05:30,202.89,202.9,202.78,202.89,7239
2025-06-09T12:42:00+05:30,202.8,202.89,202.65,202.86,9408
2025-06-09T12:43:00+05:30,202.85,202.86,202.55,202.75,16114
2025-06-09T12:44:00+05:30,202.75,202.83,202.71,202.8,4584
2025-06-09T12:45:00+05:30,202.8,202.86,202.8,202.85,5708
2025-06-09T12:46:00+05:30,202.85,202.86,202.73,202.84,43472
2025-06-09T12:47:00+05:30,202.8,202.97,202.62,202.96,61882
2025-06-09T12:48:00+05:30,202.96,203.32,202.95,203.2,69373
2025-06-09T12:49:00+05:30,203.26,203.3,203.01,203.26,32195
2025-06-09T12:50:00+05:30,203.25,203.3,203.1,203.17,18661
2025-06-09T12:51:00+05:30,203.17,203.19,202.9,202.9,20373
2025-06-09T12:52:00+05:30,202.9,202.98,202.85,202.91,14658
2025-06-09T12:53:00+05:30,202.91,203.0,202.88,202.94,4085
2025-06-09T12:54:00+05:30,202.94,203.0,202.94,202.96,13653
2025-06-09T12:55:00+05:30,202.97,203.03,202.85,202.91,19440
2025-06-09T12:56:00+05:30,202.9,202.95,202.85,202.9,4170
2025-06-09T12:57:00+05:30,202.87,202.95,202.86,202.88,3234
2025-06-09T12:58:00+05:30,202.88,202.95,202.87,202.93,8492
2025-06-09T12:59:00+05:30,202.92,202.95,202.7,202.83,17467
2025-06-09T13:00:00+05:30,202.77,202.92,202.7,202.92,12255
2025-06-09T13:01:00+05:30,202.86,202.86,202.75,202.75,2520
2025-06-09T13:02:00+05:30,202.75,202.98,202.72,202.8,26816
2025-06-09T13:03:00+05:30,202.78,202.96,202.77,202.95,11846
2025-06-09T13:04:00+05:30,202.96,203.05,202.95,203.0,18314
2025-06-09T13:05:00+05:30,203.05,203.1,202.99,203.01,24439
2025-06-09T13:06:00+05:30,203.01,203.19,203.01,203.1,9713
2025-06-09T13:07:00+05:30,203.1,203.2,203.1,203.1,11827
2025-06-09T13:08:00+05:30,203.1,203.11,202.97,203.0,19202
2025-06-09T13:09:00+05:30,203.01,203.1,202.96,203.0,6952
2025-06-09T13:10:00+05:30,203.05,203.1,203.0,203.0,2716
2025-06-09T13:11:00+05:30,203.06,203.12,203.0,203.03,4848
2025-06-09T13:12:00+05:30,203.03,203.11,202.9,202.93,24269
2025-06-09T13:13:00+05:30,202.91,203.0,202.9,202.91,15579
2025-06-09T13:14:00+05:30,202.95,202.99,202.84,202.91,8563
2025-06-09T13:15:00+05:30,202.91,203.0,202.9,202.91,7512
2025-06-09T13:16:00+05:30,202.91,203.04,202.91,202.98,25229
2025-06-09T13:17:00+05:30,202.97,203.0,202.95,202.98,8719
