time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,48.95,49.19,48.9,49.02,639289
2025-06-09T09:16:00+05:30,48.96,49.34,48.96,49.09,450403
2025-06-09T09:17:00+05:30,49.09,49.3,49.08,49.23,182582
2025-06-09T09:18:00+05:30,49.23,49.27,49.15,49.2,168757
2025-06-09T09:19:00+05:30,49.22,49.22,49.11,49.12,168905
2025-06-09T09:20:00+05:30,49.12,49.2,49.07,49.15,120534
2025-06-09T09:21:00+05:30,49.14,49.19,49.09,49.16,129920
2025-06-09T09:22:00+05:30,49.16,49.44,49.15,49.44,163304
2025-06-09T09:23:00+05:30,49.45,49.48,49.25,49.35,296478
2025-06-09T09:24:00+05:30,49.32,49.32,49.24,49.25,93736
2025-06-09T09:25:00+05:30,49.28,49.34,48.98,49.1,596850
2025-06-09T09:26:00+05:30,49.08,49.14,49.05,49.1,97844
2025-06-09T09:27:00+05:30,49.1,49.14,49.07,49.13,63766
2025-06-09T09:28:00+05:30,49.13,49.15,49.05,49.1,97407
2025-06-09T09:29:00+05:30,49.11,49.18,49.11,49.15,60805
2025-06-09T09:30:00+05:30,49.13,49.18,49.11,49.15,47854
2025-06-09T09:31:00+05:30,49.16,49.21,49.14,49.14,184406
2025-06-09T09:32:00+05:30,49.14,49.18,49.12,49.16,26564
2025-06-09T09:33:00+05:30,49.16,49.18,49.12,49.12,35104
2025-06-09T09:34:00+05:30,49.14,49.19,49.01,49.16,140345
2025-06-09T09:35:00+05:30,49.16,49.21,49.14,49.2,74306
2025-06-09T09:36:00+05:30,49.2,49.28,49.2,49.25,57274
2025-06-09T09:37:00+05:30,49.25,49.61,49.25,49.41,478747
2025-06-09T09:38:00+05:30,49.45,49.59,49.41,49.56,292346
2025-06-09T09:39:00+05:30,49.56,49.59,49.4,49.47,128823
2025-06-09T09:40:00+05:30,49.47,49.49,49.35,49.41,71457
2025-06-09T09:41:00+05:30,49.41,49.41,49.35,49.37,26276
2025-06-09T09:42:00+05:30,49.37,49.39,49.33,49.37,42381
2025-06-09T09:43:00+05:30,49.37,49.39,49.33,49.35,43735
2025-06-09T09:44:00+05:30,49.35,49.36,49.33,49.35,44674
2025-06-09T09:45:00+05:30,49.36,49.49,49.35,49.38,139391
2025-06-09T09:46:00+05:30,49.38,49.47,49.35,49.46,135480
2025-06-09T09:47:00+05:30,49.44,49.69,49.44,49.52,311558
2025-06-09T09:48:00+05:30,49.55,49.56,49.46,49.53,58075
2025-06-09T09:49:00+05:30,49.51,49.54,49.49,49.5,56368
2025-06-09T09:50:00+05:30,49.51,49.52,49.49,49.5,29433
2025-06-09T09:51:00+05:30,49.49,49.52,49.38,49.52,87019
2025-06-09T09:52:00+05:30,49.51,49.52,49.46,49.5,56600
