time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,67.76,68.21,67.0,67.65,9154366
2025-06-09T09:16:00+05:30,67.65,67.65,67.01,67.45,5508485
2025-06-09T09:17:00+05:30,67.45,67.85,67.39,67.7,2272658
2025-06-09T09:18:00+05:30,67.69,68.07,67.64,68.0,3470210
2025-06-09T09:19:00+05:30,68.0,68.3,67.88,68.1,3908216
2025-06-09T09:20:00+05:30,68.1,68.14,67.7,67.73,1993159
2025-06-09T09:21:00+05:30,67.73,67.9,67.7,67.75,1092265
2025-06-09T09:22:00+05:30,67.72,67.73,67.57,67.64,1429469
2025-06-09T09:23:00+05:30,67.63,67.65,67.5,67.5,1304865
2025-06-09T09:24:00+05:30,67.53,67.6,67.3,67.55,1797962
2025-06-09T09:25:00+05:30,67.53,67.6,67.48,67.58,697921
2025-06-09T09:26:00+05:30,67.58,67.6,67.5,67.55,554200
2025-06-09T09:27:00+05:30,67.55,67.58,67.41,67.49,1067630
2025-06-09T09:28:00+05:30,67.5,67.93,67.42,67.9,1545129
2025-06-09T09:29:00+05:30,67.9,67.95,67.67,67.73,549847
2025-06-09T09:30:00+05:30,67.72,67.87,67.68,67.77,678869
2025-06-09T09:31:00+05:30,67.79,67.87,67.62,67.66,520193
2025-06-09T09:32:00+05:30,67.66,67.67,67.46,67.47,1077829
2025-06-09T09:33:00+05:30,67.48,67.5,67.42,67.47,667837
2025-06-09T09:34:00+05:30,67.47,67.66,67.45,67.5,634466
2025-06-09T09:35:00+05:30,67.48,67.56,67.45,67.54,670739
2025-06-09T09:36:00+05:30,67.5,67.59,67.5,67.54,232465
2025-06-09T09:37:00+05:30,67.54,67.68,67.54,67.58,506205
2025-06-09T09:38:00+05:30,67.57,67.65,67.56,67.64,257242
2025-06-09T09:39:00+05:30,67.61,67.65,67.57,67.58,167814
2025-06-09T09:40:00+05:30,67.58,67.6,67.51,67.51,325358
2025-06-09T09:41:00+05:30,67.51,67.55,67.5,67.52,496124
2025-06-09T09:42:00+05:30,67.52,67.58,67.51,67.54,195791
2025-06-09T09:43:00+05:30,67.54,67.58,67.5,67.55,162412
2025-06-09T09:44:00+05:30,67.53,67.58,67.51,67.57,178713
2025-06-09T09:45:00+05:30,67.54,67.6,67.51,67.56,223371
2025-06-09T09:46:00+05:30,67.54,67.56,67.5,67.55,322891
2025-06-09T09:47:00+05:30,67.55,67.59,67.48,67.59,570925
2025-06-09T09:48:00+05:30,67.56,67.59,67.51,67.54,308349
2025-06-09T09:49:00+05:30,67.52,67.54,67.46,67.5,744788
2025-06-09T09:50:00+05:30,67.5,67.52,67.45,67.5,236326
2025-06-09T09:51:00+05:30,67.48,67.57,67.41,67.5,912520
2025-06-09T09:52:00+05:30,67.5,67.62,67.48,67.57,476056
2025-06-09T09:53:00+05:30,67.57,67.61,67.54,67.56,204603
2025-06-09T09:54:00+05:30,67.58,67.59,67.52,67.55,98606
2025-06-09T09:55:00+05:30,67.55,67.55,67.5,67.54,131681
2025-06-09T09:56:00+05:30,67.54,67.55,67.5,67.52,131454
2025-06-09T09:57:00+05:30,67.52,67.59,67.5,67.54,211724
2025-06-09T09:58:00+05:30,67.54,67.57,67.5,67.55,160966
2025-06-09T09:59:00+05:30,67.55,67.55,67.46,67.5,545559
2025-06-09T10:00:00+05:30,67.5,67.55,67.44,67.51,299161
2025-06-09T10:01:00+05:30,67.54,67.6,67.51,67.55,215072
2025-06-09T10:02:00+05:30,67.55,67.56,67.51,67.56,170425
2025-06-09T10:03:00+05:30,67.56,67.64,67.55,67.6,306371
2025-06-09T10:04:00+05:30,67.58,67.61,67.47,67.58,514781
2025-06-09T10:05:00+05:30,67.58,67.58,67.46,67.56,417667
2025-06-09T10:06:00+05:30,67.58,67.6,67.53,67.59,161147
2025-06-09T10:07:00+05:30,67.58,67.72,67.58,67.68,923987
2025-06-09T10:08:00+05:30,67.67,67.72,67.55,67.59,342333
2025-06-09T10:09:00+05:30,67.59,67.63,67.55,67.61,81917
2025-06-09T10:10:00+05:30,67.6,67.71,67.43,67.63,528038
2025-06-09T10:11:00+05:30,67.6,67.61,67.53,67.6,702003
2025-06-09T10:12:00+05:30,67.59,67.61,67.56,67.57,127276
2025-06-09T10:13:00+05:30,67.57,67.57,67.51,67.51,114464
2025-06-09T10:14:00+05:30,67.54,67.54,67.45,67.51,404236
2025-06-09T10:15:00+05:30,67.51,67.54,67.48,67.49,172482
2025-06-09T10:16:00+05:30,67.5,67.51,67.41,67.43,516877
2025-06-09T10:17:00+05:30,67.43,67.43,67.23,67.29,1221751
2025-06-09T10:18:00+05:30,67.28,67.3,67.2,67.28,1018203
2025-06-09T10:19:00+05:30,67.28,67.4,67.21,67.39,538055
2025-06-09T10:20:00+05:30,67.39,67.67,67.31,67.58,1353646
2025-06-09T10:21:00+05:30,67.58,67.58,67.46,67.47,119492
2025-06-09T10:22:00+05:30,67.46,67.52,67.46,67.52,137737
2025-06-09T10:23:00+05:30,67.52,67.54,67.47,67.5,93918
2025-06-09T10:24:00+05:30,67.47,67.5,67.45,67.49,55345
2025-06-09T10:25:00+05:30,67.48,67.59,67.45,67.58,168782
2025-06-09T10:26:00+05:30,67.56,67.59,67.49,67.53,184230
2025-06-09T10:27:00+05:30,67.53,67.53,67.2,67.34,1283415
