time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,249.6,250.3,249.22,250.19,61396
2025-06-09T09:16:00+05:30,250.18,250.3,249.89,250.06,69000
2025-06-09T09:17:00+05:30,250.06,250.28,249.97,250.13,36680
2025-06-09T09:18:00+05:30,250.13,250.49,250.04,250.35,45928
2025-06-09T09:19:00+05:30,250.43,250.59,250.3,250.49,60228
2025-06-09T09:20:00+05:30,250.49,251.0,250.45,250.88,132956
2025-06-09T09:21:00+05:30,250.88,251.0,250.75,250.98,70680
2025-06-09T09:22:00+05:30,250.98,251.25,250.7,250.93,102634
2025-06-09T09:23:00+05:30,251.0,251.05,250.78,250.9,23343
2025-06-09T09:24:00+05:30,250.9,250.9,250.57,250.7,14484
2025-06-09T09:25:00+05:30,250.74,251.22,250.69,251.09,50520
2025-06-09T09:26:00+05:30,251.2,251.25,250.95,251.0,16347
2025-06-09T09:27:00+05:30,250.97,251.6,250.95,251.47,73578
2025-06-09T09:28:00+05:30,251.47,251.49,251.07,251.2,21354
2025-06-09T09:29:00+05:30,251.13,251.2,251.0,251.09,26062
2025-06-09T09:30:00+05:30,251.09,251.09,250.62,250.71,18481
2025-06-09T09:31:00+05:30,250.7,250.72,250.52,250.54,20851
2025-06-09T09:32:00+05:30,250.59,250.9,250.53,250.9,22593
2025-06-09T09:33:00+05:30,250.9,251.09,250.8,250.92,20004
2025-06-09T09:34:00+05:30,250.85,251.0,250.69,250.92,38579
2025-06-09T09:35:00+05:30,250.91,250.92,250.71,250.87,6972
2025-06-09T09:36:00+05:30,250.86,251.0,250.75,250.88,40201
2025-06-09T09:37:00+05:30,250.88,251.0,250.8,250.89,20420
2025-06-09T09:38:00+05:30,250.8,250.89,250.7,250.74,6650
2025-06-09T09:39:00+05:30,250.74,250.94,250.7,250.86,9718
2025-06-09T09:40:00+05:30,250.86,250.9,250.7,250.72,6507
2025-06-09T09:41:00+05:30,250.7,250.75,250.6,250.67,6366
2025-06-09T09:42:00+05:30,250.63,250.67,250.52,250.65,5107
2025-06-09T09:43:00+05:30,250.56,250.63,250.5,250.53,19916
2025-06-09T09:44:00+05:30,250.56,250.65,250.52,250.63,6556
2025-06-09T09:45:00+05:30,250.6,250.82,250.58,250.76,15043
2025-06-09T09:46:00+05:30,250.81,250.81,250.65,250.73,18162
2025-06-09T09:47:00+05:30,250.73,250.99,250.66,250.99,31118
2025-06-09T09:48:00+05:30,250.93,250.99,250.75,250.89,4640
2025-06-09T09:49:00+05:30,250.89,250.9,250.75,250.87,6258
2025-06-09T09:50:00+05:30,250.87,250.9,250.65,250.7,10798
2025-06-09T09:51:00+05:30,250.79,250.79,250.6,250.6,14588
2025-06-09T09:52:00+05:30,250.6,250.65,250.56,250.58,4555
2025-06-09T09:53:00+05:30,250.58,250.6,250.28,250.41,55878
2025-06-09T09:54:00+05:30,250.4,250.5,250.36,250.41,6355
2025-06-09T09:55:00+05:30,250.36,250.43,250.36,250.4,8906
2025-06-09T09:56:00+05:30,250.36,250.4,250.3,250.3,12686
2025-06-09T09:57:00+05:30,250.3,250.44,250.3,250.34,9509
2025-06-09T09:58:00+05:30,250.34,250.34,250.26,250.3,5142
2025-06-09T09:59:00+05:30,250.26,250.34,250.26,250.3,7302
2025-06-09T10:00:00+05:30,250.27,250.34,250.25,250.33,13852
2025-06-09T10:01:00+05:30,250.3,250.71,250.3,250.71,27324
2025-06-09T10:02:00+05:30,250.7,250.71,250.44,250.6,7571
2025-06-09T10:03:00+05:30,250.61,250.8,250.52,250.71,6295
2025-06-09T10:04:00+05:30,250.7,250.8,250.61,250.7,13944
2025-06-09T10:05:00+05:30,250.7,250.85,250.7,250.76,5063
2025-06-09T10:06:00+05:30,250.76,250.85,250.7,250.73,2287
2025-06-09T10:07:00+05:30,250.73,250.85,250.71,250.8,3027
2025-06-09T10:08:00+05:30,250.74,250.79,250.55,250.69,11029
2025-06-09T10:09:00+05:30,250.61,250.72,250.55,250.68,7152
2025-06-09T10:10:00+05:30,250.62,250.7,250.61,250.68,6850
2025-06-09T10:11:00+05:30,250.65,250.68,250.52,250.54,10854
2025-06-09T10:12:00+05:30,250.54,250.6,250.53,250.55,2840
2025-06-09T10:13:00+05:30,250.54,250.59,250.45,250.5,12196
2025-06-09T10:14:00+05:30,250.48,250.63,250.48,250.58,5997
2025-06-09T10:15:00+05:30,250.54,250.7,250.54,250.64,4474
2025-06-09T10:16:00+05:30,250.63,250.77,250.63,250.65,5889
2025-06-09T10:17:00+05:30,250.64,250.68,250.5,250.5,9249
2025-06-09T10:18:00+05:30,250.5,250.57,250.42,250.47,7848
2025-06-09T10:19:00+05:30,250.47,250.61,250.46,250.52,15045
2025-06-09T10:20:00+05:30,250.55,250.6,250.41,250.52,8373
2025-06-09T10:21:00+05:30,250.55,250.66,250.52,250.61,3556
2025-06-09T10:22:00+05:30,250.63,250.82,250.6,250.73,7624
2025-06-09T10:23:00+05:30,250.82,250.83,250.66,250.66,13874
2025-06-09T10:24:00+05:30,250.73,250.82,250.66,250.77,3336
2025-06-09T10:25:00+05:30,250.77,250.85,250.75,250.8,15022
2025-06-09T10:26:00+05:30,250.84,250.89,250.75,250.75,7605
2025-06-09T10:27:00+05:30,250.75,250.98,250.75,250.92,20565
2025-06-09T10:28:00+05:30,250.91,250.94,250.81,250.89,7771
2025-06-09T10:29:00+05:30,250.89,250.99,250.89,250.9,7347
2025-06-09T10:30:00+05:30,250.91,250.99,250.75,250.76,13129
2025-06-09T10:31:00+05:30,250.76,250.85,250.71,250.75,5170
2025-06-09T10:32:00+05:30,250.79,250.88,250.75,250.75,7534
2025-06-09T10:33:00+05:30,250.75,250.86,250.65,250.7,13580
2025-06-09T10:34:00+05:30,250.7,250.72,250.6,250.69,9251
2025-06-09T10:35:00+05:30,250.69,250.7,250.57,250.57,8496
2025-06-09T10:36:00+05:30,250.57,250.65,250.5,250.5,16151
2025-06-09T10:37:00+05:30,250.53,250.64,250.5,250.5,6122
2025-06-09T10:38:00+05:30,250.51,250.65,250.5,250.55,5192
2025-06-09T10:39:00+05:30,250.65,250.65,250.5,250.52,4202
2025-06-09T10:40:00+05:30,250.55,250.56,250.5,250.52,7062
2025-06-09T10:41:00+05:30,250.52,250.55,250.5,250.5,6333
2025-06-09T10:42:00+05:30,250.52,250.53,250.4,250.51,3630
2025-06-09T10:43:00+05:30,250.5,250.52,250.5,250.51,9296
2025-06-09T10:44:00+05:30,250.51,250.52,250.4,250.45,4616
2025-06-09T10:45:00+05:30,250.5,250.51,250.45,250.5,8513
2025-06-09T10:46:00+05:30,250.51,250.51,250.45,250.51,2081
2025-06-09T10:47:00+05:30,250.51,250.52,250.4,250.4,9779
2025-06-09T10:48:00+05:30,250.4,250.5,250.39,250.41,4430
2025-06-09T10:49:00+05:30,250.41,250.5,250.39,250.45,6277
2025-06-09T10:50:00+05:30,250.5,250.5,250.44,250.45,1967
2025-06-09T10:51:00+05:30,250.45,250.49,250.4,250.4,3576
2025-06-09T10:52:00+05:30,250.42,250.44,250.3,250.31,10485
2025-06-09T10:53:00+05:30,250.31,250.43,250.3,250.32,7104
2025-06-09T10:54:00+05:30,250.41,250.42,250.31,250.33,2584
2025-06-09T10:55:00+05:30,250.41,250.42,250.31,250.39,6572
2025-06-09T10:56:00+05:30,250.42,250.42,250.12,250.22,24054
2025-06-09T10:57:00+05:30,250.22,250.28,249.81,250.18,209764
2025-06-09T10:58:00+05:30,250.18,250.18,249.63,249.97,218506
2025-06-09T10:59:00+05:30,250.02,250.1,250.0,250.0,2262
2025-06-09T11:00:00+05:30,250.05,250.07,249.91,250.01,6989
2025-06-09T11:01:00+05:30,250.03,250.04,249.84,249.84,35627
2025-06-09T11:02:00+05:30,249.88,249.93,249.71,249.76,23015
2025-06-09T11:03:00+05:30,249.79,249.84,249.72,249.75,9406
2025-06-09T11:04:00+05:30,249.75,249.82,249.71,249.76,4341
2025-06-09T11:05:00+05:30,249.76,249.85,249.62,249.69,16351
2025-06-09T11:06:00+05:30,249.62,249.8,249.56,249.67,10470
2025-06-09T11:07:00+05:30,249.67,249.75,249.52,249.55,17960
2025-06-09T11:08:00+05:30,249.55,249.58,249.5,249.55,11376
2025-06-09T11:09:00+05:30,249.55,249.67,249.55,249.61,5594
2025-06-09T11:10:00+05:30,249.66,249.69,249.52,249.54,24459
