"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 05-Jul-2024"
"NIFTY 200","14,233.75","14,250.05","14,215.25","14,233.25","14,236.95","-","3.70","0.03","55,25,95,932","21,912.49","14,833.75","11,941.45","1.69","3.14"
"MANKIND","2,419.50","2,538.30","2,417.60","2,431.70","2,513.60","-","81.90","3.37","6,96,896","174.59","3,054.80","1,901.05","3.37","17.92"
"MRF","1,44,945.00","1,49,500.00","1,44,000.00","1,44,945.00","1,48,800.00","-","3,855.00","2.66","6,240","91.84","1,49,500.00","1,02,124.05","3.88","12.56"
"GMRAIRPORT","91.50","93.96","91.44","91.24","93.55","-","2.31","2.53","1,49,86,386","139.37","103.75","67.75","5.77","-"
"ICICIPRULI","663.00","683.40","661.00","664.55","680.60","-","16.05","2.42","13,77,280","93.22","796.80","525.80","4.48","4.43"
"WAAREEENER","3,057.00","3,153.20","3,046.00","3,068.60","3,139.00","-","70.40","2.29","28,02,503","875.23","3,743.00","1,863.00","8.50","-"
"NYKAA","202.89","207.25","201.91","202.59","207.15","-","4.56","2.25","39,42,359","80.83","229.80","154.90","2.73","14.48"
"PREMIERENE","1,058.20","1,094.00","1,053.60","1,056.60","1,079.70","-","23.10","2.19","17,49,036","188.50","1,388.00","774.05","0.28","-"
"BHEL","258.10","265.35","257.80","258.10","263.60","-","5.50","2.13","54,41,109","142.49","335.35","176.00","0.94","-21.39"
"GODREJCP","1,272.00","1,308.00","1,272.00","1,277.40","1,304.40","-","27.00","2.11","10,22,845","132.72","1,541.85","979.50","5.56","-10.42"
"BIOCON","369.00","379.35","369.00","369.35","376.35","-","7.00","1.90","24,76,725","93.23","404.70","291.00","11.91","0.74"
"JSWENERGY","515.05","525.50","514.05","513.55","523.10","-","9.55","1.86","16,39,290","85.27","804.90","418.75","-1.78","-30.81"
"DIXON","15,544.00","15,838.00","15,532.00","15,473.00","15,759.00","-","286.00","1.85","3,23,072","508.19","19,148.90","10,620.00","4.16","23.96"
"VBL","463.95","469.50","463.10","458.15","466.35","-","8.20","1.79","74,60,901","348.10","681.12","419.55","-3.95","-71.32"
"DABUR","511.00","522.90","511.00","513.10","522.20","-","9.10","1.77","17,27,354","89.72","672.00","433.30","6.62","-17.70"
"CONCOR","598.35","611.00","594.85","598.35","608.75","-","10.40","1.74","12,20,076","73.95","860.00","481.00","-26.08","-42.64"
"INDHOTEL","739.00","753.90","737.35","739.30","751.60","-","12.30","1.66","20,29,106","152.02","894.90","571.05","-4.83","21.46"
"SHRIRAMFIN","671.25","680.90","671.00","668.95","679.80","-","10.85","1.62","16,53,607","111.72","730.45","493.35","-2.80","-76.18"
"BSE","2,500.00","2,550.00","2,485.50","2,477.00","2,515.40","-","38.40","1.55","50,73,515","1,280.40","3,030.00","705.00","-15.55","4.06"
"JIOFIN","329.00","335.30","328.80","328.85","333.90","-","5.05","1.54","1,49,64,813","497.74","363.00","198.65","11.85","-5.58"
"CUMMINSIND","3,495.00","3,555.00","3,478.90","3,478.00","3,531.60","-","53.60","1.54","5,51,860","194.80","4,154.00","2,580.00","2.77","-13.07"
"LODHA","1,370.00","1,397.30","1,360.70","1,374.90","1,395.00","-","20.10","1.46","5,42,413","74.91","1,595.00","1,035.15","-9.31","-10.70"
"ADANIENSOL","886.70","904.50","885.55","881.25","893.95","-","12.70","1.44","14,08,620","126.18","1,348.00","588.00","-0.32","-11.73"
"CHOLAFIN","1,527.00","1,548.80","1,518.00","1,521.70","1,542.80","-","21.10","1.39","7,54,616","116.22","1,684.40","1,168.00","-4.49","7.76"
"ABB","5,840.50","5,925.00","5,821.00","5,840.00","5,919.50","-","79.50","1.36","1,19,681","70.34","8,940.60","4,684.45","-3.50","-31.77"
