token,symbol
10,ABAN-EQ
10217,ADANIENSOL-EQ
10579,MARKSANS-EQ
10637,OLECTRA-EQ
10690,NIFTYQLITY-EQ
10693,MOMENTUM-EQ
10738,OFSS-EQ
10940,DIVISLAB-EQ
10999,MARUTI-EQ
11287,UPL-EQ
11432,KRITINUT-EQ
1145,GIPCL-EQ
11538,HDFCMOMENT-EQ
11596,LINCOLN-EQ
11655,JBMA-EQ
11689,SUPRAJIT-EQ
11817,MANGALAM-EQ
11868,63MOONS-EQ
11892,VHL-EQ
11983,SASKEN-EQ
11987,ICIL-EQ
12072,SCPL-EQ
12173,HNDFDS-EQ
1267,GUJALKALI-EQ
1289,GFLLIMITED-EQ
13182,ROHLTD-EQ
10285,AYMSYNTEX-EQ
10453,SATIN-EQ
10508,MOHEALTH-EQ
10676,MNC-EQ
10700,SURANAT&P-EQ
10723,INFRAIETF-EQ
10753,UNIONBANK-EQ
10831,MOVALUINAV-EQ
10865,GVPTECH-EQ
10871,GRMOVER-EQ
11319,LICNETFN50-EQ
11325,MUKANDLTD-EQ
11351,PETRONET-EQ
11536,TCS-EQ
11580,WESTLIFE-EQ
11593,HDFCSENSEX-EQ
11602,INDSWFTLTD-EQ
11699,PATELENG-EQ
11821,WELCORP-EQ
11927,NECLIFE-EQ
12108,HDFCPVTBAN-EQ
1247,GSFC-EQ
12489,SWSOLAR-EQ
12578,FINIETF-EQ
12863,V1NSETEST-EQ
12913,SARVESHWAR-EQ
1313,HARRMALAYA-EQ
13139,EBBETF0433-EQ
13175,NITINSPIN-EQ
10227,MANORAMA-EQ
104,SHAREINDIA-EQ
10530,SHARDAMOTR-EQ
10557,NAVKARCORP-EQ
10590,LOYALTEX-EQ
10661,PONNIERODE-EQ
10876,HDFCSILVER-EQ
1110,DANGEE-EQ
11045,SATIA-EQ
11060,KSOLVES-EQ
11065,NATHBIOGEN-EQ
11195,INDIGO-EQ
11297,SIL-EQ
11423,DATAMATICS-EQ
11439,BANKBEES-EQ
11452,CCL-EQ
11522,NIITLTD-EQ
11571,PPLPHARMA-EQ
11573,FORCEMOT-EQ
11647,KOTARISUG-EQ
11703,ALKEM-EQ
1200,ESG-EQ
11975,RML-EQ
12015,AEROENTER-EQ
12032,FIVESTAR-EQ
1008,FACT-EQ
1041,FINPIPE-EQ
1053,UFLEX-EQ
10604,BHARTIARTL-EQ
10793,SYRMA-EQ
10794,CANBK-EQ
10825,MOVALUE-EQ
10859,DREAMFOLKS-EQ
11039,DCMNVL-EQ
11193,AXISILVER-EQ
11239,NSIL-EQ
11256,JAIBALAJI-EQ
1139,GICHSGFIN-EQ
11411,RKFORGE-EQ
11532,ULTRACEMCO-EQ
11543,COFORGE-EQ
1162,GTL-EQ
11582,TRACXN-EQ
11627,NARMADA-EQ
11630,NTPC-EQ
11654,LALPATHLAB-EQ
11763,JPPOWER-EQ
11798,ALLDIGI-EQ
1186,GLAND-EQ
11860,JKPAPER-EQ
11864,PRIMESECU-EQ
1190,FMGOETZE-EQ
11966,BIKAJI-EQ
12024,ACI-EQ
12384,ZIMLAB-EQ
12848,N1NSETEST-EQ
13061,360ONE-EQ
13091,EKC-EQ
13101,VIMTALABS-EQ
13116,QUICKHEAL-EQ
13260,KEC-EQ
13275,INDOTECH-EQ
12219,RUSTOMJEE-EQ
12533,AAATECH-EQ
12847,KRISHANA-EQ
13035,SAFARI-EQ
13218,SULA-EQ
13305,CENTURYPLY-EQ
13337,GALLANTT-EQ
13270,JKCEMENT-EQ
13288,AFSL-EQ
13290,BLKASHYAP-EQ
13310,KEI-EQ
1333,HDFCBANK-EQ
13332,SOLARINDS-EQ
13496,PFOCUS-EQ
13750,FLUOROCHEM-EQ
13753,MANOMAY-EQ
1406,HINDPETRO-EQ
14064,ASMS-EQ
14296,SEQUENT-EQ
14305,OSWALSEEDS-EQ
14398,AMDIND-EQ
14490,NCLIND-EQ
14523,ICRA-EQ
14567,BFUTILITIE-EQ
14597,ALPHAGEO-EQ
14599,GSLSU-EQ
14667,KMSUGAR-EQ
14751,021NSETEST-EQ
14977,POWERGRID-EQ
15146,JYOTHYLAB-EQ
15179,ECLERX-EQ
15214,DVL-EQ
15313,IRB-EQ
15332,NMDC-EQ
15347,GSS-EQ
154,APCOTEXIND-EQ
15409,NESCO-EQ
1594,INFY-EQ
1621,TATAINVEST-EQ
16669,BAJAJ-AUTO-EQ
16827,KOKUYOCMLN-EQ
16863,LPDC-EQ
16900,DPWIRES-EQ
16943,ASHOKAMET-EQ
17032,THYROCARE-EQ
17053,HMAAGRO-EQ
1720,JAYSREETEA-EQ
17105,SUMICHEM-EQ
17256,ALBERTDAVD-EQ
17272,SETFGOLD-EQ
1756,JINDALPOLY-EQ
17641,SUNTECK-EQ
17702,MIDSELIETF-EQ
17795,TREL-EQ
17939,HINDCOPPER-EQ
1802,JYOTISTRUC-EQ
18102,NIFTY1-EQ
18124,DBREALTY-EQ
18154,HATHWAY-EQ
18226,MANINFRA-EQ
18232,LORDSCHLO-EQ
18268,AEROFLEX-EQ
18279,HDFCLIQUID-EQ
18347,NIFMID150-EQ
18543,DIACABS-EQ
18908,PNBHOUSING-EQ
18921,VBL-EQ
18944,KINGFA-EQ
18962,RAJRATAN-EQ
19036,PODDARMENT-EQ
19073,AARVI-EQ
19084,ITBEES-EQ
1922,KOTAKBANK-EQ
19223,TCIEXP-EQ
19599,PRAKASHSTL-EQ
19679,GOLDIETF-EQ
19876,LGHL-EQ
20072,INFRABEES-EQ
20182,ASHOKA-EQ
20224,JWL-EQ
20560,DOLLAR-EQ
20642,JINDWORLD-EQ
21091,STARCEMENT-EQ
21427,THEINVEST-EQ
21726,MATRIMONY-EQ
