symbol,timestamp,price,signal,target,stoploss,exit_price,exit_time,outcome,pnl
ACC-EQ,2025-06-18 10:38:00+05:30,1859.9,BUY,1878.5,1841.3,1841.3,2025-06-18 14:05:00+05:30,STOPLOSS,-18.6
ADANIGREEN-EQ,2025-06-11 09:57:00+05:30,1059.9,BUY,1070.5,1049.3,1049.3,2025-06-11 12:42:00+05:30,STOPLOSS,-10.6
AMBUJACEM-EQ,2025-07-02 14:40:00+05:30,594.8,BUY,600.75,588.85,588.85,2025-07-03 11:47:00+05:30,STOPLOSS,-5.95
APLAPOLLO-EQ,2025-06-17 10:51:00+05:30,1842.3,BUY,1860.72,1823.88,1823.88,2025-06-17 12:51:00+05:30,STOPLOSS,-18.42
AUBANK-EQ,2025-06-18 13:28:00+05:30,793.7,BUY,801.64,785.76,801.64,2025-06-19 09:16:00+05:30,TARGET,7.94
AUROPHARMA-EQ,2025-06-16 09:51:00+05:30,1141.1,BUY,1152.51,1129.69,1129.69,2025-06-17 10:59:00+05:30,STOPLOSS,-11.41
BAJAJFINSV-EQ,2025-06-12 10:53:00+05:30,2046.5,BUY,2066.96,2026.04,2026.04,2025-06-12 15:16:00+05:30,STOPLOSS,-20.46
BHARATFORG-EQ,2025-07-04 09:27:00+05:30,1296.8,BUY,1309.77,1283.83,1309.77,2025-07-04 10:05:00+05:30,TARGET,12.97
COLPAL-EQ,2025-07-07 13:04:00+05:30,2476.7,BUY,2501.47,2451.93,2451.93,2025-07-08 09:15:00+05:30,STOPLOSS,-24.77
EICHERMOT-EQ,2025-06-13 10:43:00+05:30,5245.0,BUY,5297.45,5192.55,5297.45,2025-06-13 13:44:00+05:30,TARGET,52.45
ESCORTS-EQ,2025-06-18 13:50:00+05:30,3252.3,BUY,3284.82,3219.78,3284.82,2025-06-19 12:34:00+05:30,TARGET,32.52
EXIDEIND-EQ,2025-06-18 10:38:00+05:30,383.3,BUY,387.13,379.47,379.47,2025-06-18 12:53:00+05:30,STOPLOSS,-3.83
EXIDEIND-EQ,2025-06-18 11:37:00+05:30,381.35,BUY,385.16,377.54,377.54,2025-06-18 15:26:00+05:30,STOPLOSS,-3.81
HCLTECH-EQ,2025-06-10 10:55:00+05:30,1668.1,BUY,1684.78,1651.42,1684.78,2025-06-10 12:19:00+05:30,TARGET,16.68
HDFCAMC-EQ,2025-06-10 12:50:00+05:30,5115.3,BUY,5166.45,5064.15,5166.45,2025-06-11 10:44:00+05:30,TARGET,51.15
HDFCLIFE-EQ,2025-06-18 09:21:00+05:30,771.0,BUY,778.71,763.29,763.29,2025-06-19 09:15:00+05:30,STOPLOSS,-7.71
HINDZINC-EQ,2025-06-11 14:32:00+05:30,520.45,BUY,525.65,515.25,525.65,2025-06-12 09:19:00+05:30,TARGET,5.2
HYUNDAI-EQ,2025-06-16 12:29:00+05:30,1933.1,BUY,1952.43,1913.77,1952.43,2025-06-17 09:15:00+05:30,TARGET,19.33
HYUNDAI-EQ,2025-06-23 15:17:00+05:30,1999.8,BUY,2019.8,1979.8,2019.8,2025-06-24 09:15:00+05:30,TARGET,20.0
ICICIBANK-EQ,2025-06-18 10:38:00+05:30,1420.9,BUY,1435.11,1406.69,1406.69,2025-06-19 09:15:00+05:30,STOPLOSS,-14.21
