symbol,token
SCHAEFFLER-EQ,1011
AYMSYNTEX-EQ,10285
RADHIKAJWE-EQ,10343
CSLFINANCE-EQ,10350
AXISBNKETF-EQ,1044
GUJGASLTD-EQ,10599
BHARTIARTL-EQ,10604
FOSECOIND-EQ,1073
OAL-EQ,10768
GODREJIND-EQ,10925
TMB-EQ,10945
LIQUIDBEES-EQ,11006
AGRITECH-EQ,11072
DANGEE-EQ,1110
VARDHACRLC-EQ,11220
IGL-EQ,11262
SIL-EQ,11297
LICNETFN50-EQ,11319
VAIBHAVGBL-EQ,11364
ZOTA-EQ,11394
SALZERELEC-EQ,11399
RKFORGE-EQ,11411
DATAMATICS-EQ,11423
NV20-EQ,11457
GLAXO-EQ,1153
FORCEMOT-EQ,11573
TRACXN-EQ,11582
ASTRAMICRO-EQ,11618
DWARKESH-EQ,11667
GTL-EQ,1162
NTPC-EQ,11630
EVEREADY-EQ,11782
IIFL-EQ,11809
FMGOETZE-EQ,1190
CYBERMEDIA-EQ,11842
JKPAPER-EQ,11860
GEOJITFSL-EQ,11896
YESBANK-EQ,11915
FUSION-EQ,11932
SUZLON-EQ,12018
KAYNES-EQ,12092
HDFCNIFIT-EQ,12101
PRECAM-EQ,12603
V1NSETEST-EQ,12863
IIFLCAPS-EQ,13072
TRIVENI-EQ,13081
AIAENG-EQ,13086
EKC-EQ,13091
GSEC10IETF-EQ,13143
ENIL-EQ,13192
SULA-EQ,13218
KEC-EQ,13260
GPIL-EQ,13409
RATNAMANI-EQ,13451
ALLCARGO-EQ,13501
MUNJALAU-EQ,13511
VIDHIING-EQ,13536
RADIANTCMS-EQ,13580
GESHIP-EQ,13776
TANLA-EQ,13976
AUTOIND-EQ,14106
GANDHITUBE-EQ,14116
UNOMINDA-EQ,14154
HDFCSML250-EQ,14233
SANOFI-EQ,1442
LAOPALA-EQ,14423
LEXUS-EQ,14459
THEMISMED-EQ,14485
PHOENIXLTD-EQ,14552
INSECTICID-EQ,14657
061NSETEST-EQ,14762
REPL-EQ,1480
TARMAT-EQ,14771
KPRMILL-EQ,14912
CENTUM-EQ,14982
BLAL-EQ,15067
COLPAL-EQ,15141
LICNFNHGP-EQ,15229
QGOLDHALF-EQ,15330
NMDC-EQ,15332
GOLDETFADD-EQ,15356
RACE-EQ,15391
BECTORFOOD-EQ,1628
APOLLOTYRE-EQ,163
ITC-EQ,1660
SILVRETF-EQ,16777
SINDHUTRAD-EQ,16859
THYROCARE-EQ,17032
OIL-EQ,17438
LIQUID-EQ,17572
